Material,Code,Description,Size,Color,Pack,Qty,Price,Image,main_category,sub_category,sub_sub_category,sub_sub_sub_category,Tommur-Code,Lesso-Code
Blinds,ACH-BLIND-LUNA,GII CORDLESS Luna 2in Vinyl Plantation Blind,23x64,White,4,0,13,images/achim/pdf-ach-blind-luna-white.jpg,Windows,Blinds,Plantation Blinds,GII Luna 2in,,
Blinds,ACH-BLIND-LUNA,GII CORDLESS Luna 2in Vinyl Plantation Blind,23x64,Mahogany,4,0,13,images/achim/pdf-ach-blind-luna-mahogany.jpg,Windows,Blinds,Plantation Blinds,GII Luna 2in,,
Blinds,ACH-BLIND-LUNA,GII CORDLESS Luna 2in Vinyl Plantation Blind,27x64,White,4,0,15.31,images/achim/pdf-ach-blind-luna-white.jpg,Windows,Blinds,Plantation Blinds,GII Luna 2in,,
Blinds,ACH-BLIND-LUNA,GII CORDLESS Luna 2in Vinyl Plantation Blind,27x64,Mahogany,4,0,15.31,images/achim/pdf-ach-blind-luna-mahogany.jpg,Windows,Blinds,Plantation Blinds,GII Luna 2in,,
Blinds,ACH-BLIND-LUNA,GII CORDLESS Luna 2in Vinyl Plantation Blind,29x64,White,4,0,16.44,images/achim/pdf-ach-blind-luna-white.jpg,Windows,Blinds,Plantation Blinds,GII Luna 2in,,
Blinds,ACH-BLIND-LUNA,GII CORDLESS Luna 2in Vinyl Plantation Blind,29x64,Mahogany,4,0,16.44,images/achim/pdf-ach-blind-luna-mahogany.jpg,Windows,Blinds,Plantation Blinds,GII Luna 2in,,
Blinds,ACH-BLIND-LUNA,GII CORDLESS Luna 2in Vinyl Plantation Blind,30x64,White,4,0,17,images/achim/pdf-ach-blind-luna-white.jpg,Windows,Blinds,Plantation Blinds,GII Luna 2in,,
Blinds,ACH-BLIND-LUNA,GII CORDLESS Luna 2in Vinyl Plantation Blind,30x64,Mahogany,4,0,17,images/achim/pdf-ach-blind-luna-mahogany.jpg,Windows,Blinds,Plantation Blinds,GII Luna 2in,,
Blinds,ACH-BLIND-LUNA,GII CORDLESS Luna 2in Vinyl Plantation Blind,31x64,White,4,0,17.5,images/achim/pdf-ach-blind-luna-white.jpg,Windows,Blinds,Plantation Blinds,GII Luna 2in,,
Blinds,ACH-BLIND-LUNA,GII CORDLESS Luna 2in Vinyl Plantation Blind,31x64,Mahogany,4,0,17.5,images/achim/pdf-ach-blind-luna-mahogany.jpg,Windows,Blinds,Plantation Blinds,GII Luna 2in,,
Blinds,ACH-BLIND-LUNA,GII CORDLESS Luna 2in Vinyl Plantation Blind,32x64,White,4,0,18.13,images/achim/pdf-ach-blind-luna-white.jpg,Windows,Blinds,Plantation Blinds,GII Luna 2in,,
Blinds,ACH-BLIND-LUNA,GII CORDLESS Luna 2in Vinyl Plantation Blind,32x64,Mahogany,4,0,18.13,images/achim/pdf-ach-blind-luna-mahogany.jpg,Windows,Blinds,Plantation Blinds,GII Luna 2in,,
Blinds,ACH-BLIND-LUNA,GII CORDLESS Luna 2in Vinyl Plantation Blind,33x64,White,4,0,18.69,images/achim/pdf-ach-blind-luna-white.jpg,Windows,Blinds,Plantation Blinds,GII Luna 2in,,
Blinds,ACH-BLIND-LUNA,GII CORDLESS Luna 2in Vinyl Plantation Blind,33x64,Mahogany,4,0,18.69,images/achim/pdf-ach-blind-luna-mahogany.jpg,Windows,Blinds,Plantation Blinds,GII Luna 2in,,
Blinds,ACH-BLIND-LUNA,GII CORDLESS Luna 2in Vinyl Plantation Blind,35x64,White,4,0,19.81,images/achim/pdf-ach-blind-luna-white.jpg,Windows,Blinds,Plantation Blinds,GII Luna 2in,,
Blinds,ACH-BLIND-LUNA,GII CORDLESS Luna 2in Vinyl Plantation Blind,35x64,Mahogany,4,0,19.81,images/achim/pdf-ach-blind-luna-mahogany.jpg,Windows,Blinds,Plantation Blinds,GII Luna 2in,,
Blinds,ACH-BLIND-LUNA,GII CORDLESS Luna 2in Vinyl Plantation Blind,36x64,White,4,0,20.38,images/achim/pdf-ach-blind-luna-white.jpg,Windows,Blinds,Plantation Blinds,GII Luna 2in,,
Blinds,ACH-BLIND-LUNA,GII CORDLESS Luna 2in Vinyl Plantation Blind,36x64,Mahogany,4,0,20.38,images/achim/pdf-ach-blind-luna-mahogany.jpg,Windows,Blinds,Plantation Blinds,GII Luna 2in,,
Blinds,ACH-BLIND-LUNA,GII CORDLESS Luna 2in Vinyl Plantation Blind,39x64,White,4,0,24.06,images/achim/pdf-ach-blind-luna-white.jpg,Windows,Blinds,Plantation Blinds,GII Luna 2in,,
Blinds,ACH-BLIND-LUNA,GII CORDLESS Luna 2in Vinyl Plantation Blind,39x64,Mahogany,4,0,24.06,images/achim/pdf-ach-blind-luna-mahogany.jpg,Windows,Blinds,Plantation Blinds,GII Luna 2in,,
Blinds,ACH-BLIND-LUNA,GII CORDLESS Luna 2in Vinyl Plantation Blind,43x64,White,4,0,26.44,images/achim/pdf-ach-blind-luna-white.jpg,Windows,Blinds,Plantation Blinds,GII Luna 2in,,
Blinds,ACH-BLIND-LUNA,GII CORDLESS Luna 2in Vinyl Plantation Blind,43x64,Mahogany,4,0,26.44,images/achim/pdf-ach-blind-luna-mahogany.jpg,Windows,Blinds,Plantation Blinds,GII Luna 2in,,
Blinds,ACH-BLIND-LUNA,GII CORDLESS Luna 2in Vinyl Plantation Blind,48x64,White,4,0,29.38,images/achim/pdf-ach-blind-luna-white.jpg,Windows,Blinds,Plantation Blinds,GII Luna 2in,,
Blinds,ACH-BLIND-LUNA,GII CORDLESS Luna 2in Vinyl Plantation Blind,48x64,Mahogany,4,0,29.38,images/achim/pdf-ach-blind-luna-mahogany.jpg,Windows,Blinds,Plantation Blinds,GII Luna 2in,,
Blinds,ACH-BLIND-MADERA,GII CORDLESS Madera Falsa 2in Faux Wood Plantation Blind,23x64,White,2,0,20.94,images/achim/pdf-ach-blind-madera-white.jpg,Windows,Blinds,Plantation Blinds,GII Madera Falsa 2in,,
Blinds,ACH-BLIND-MADERA,GII CORDLESS Madera Falsa 2in Faux Wood Plantation Blind,23x64,Mahogany,2,0,20.94,images/achim/pdf-ach-blind-madera-mahogany.jpg,Windows,Blinds,Plantation Blinds,GII Madera Falsa 2in,,
Blinds,ACH-BLIND-MADERA,GII CORDLESS Madera Falsa 2in Faux Wood Plantation Blind,23x64,Grey,2,0,20.94,images/achim/pdf-ach-blind-madera-grey.jpg,Windows,Blinds,Plantation Blinds,GII Madera Falsa 2in,,
Blinds,ACH-BLIND-MADERA,GII CORDLESS Madera Falsa 2in Faux Wood Plantation Blind,25x64,White,2,0,22.81,images/achim/pdf-ach-blind-madera-white.jpg,Windows,Blinds,Plantation Blinds,GII Madera Falsa 2in,,
Blinds,ACH-BLIND-MADERA,GII CORDLESS Madera Falsa 2in Faux Wood Plantation Blind,25x64,Mahogany,2,0,22.81,images/achim/pdf-ach-blind-madera-mahogany.jpg,Windows,Blinds,Plantation Blinds,GII Madera Falsa 2in,,
Blinds,ACH-BLIND-MADERA,GII CORDLESS Madera Falsa 2in Faux Wood Plantation Blind,25x64,Grey,2,0,22.81,images/achim/pdf-ach-blind-madera-grey.jpg,Windows,Blinds,Plantation Blinds,GII Madera Falsa 2in,,
Blinds,ACH-BLIND-MADERA,GII CORDLESS Madera Falsa 2in Faux Wood Plantation Blind,27x64,White,2,0,24.56,images/achim/pdf-ach-blind-madera-white.jpg,Windows,Blinds,Plantation Blinds,GII Madera Falsa 2in,,
Blinds,ACH-BLIND-MADERA,GII CORDLESS Madera Falsa 2in Faux Wood Plantation Blind,27x64,Mahogany,2,0,24.56,images/achim/pdf-ach-blind-madera-mahogany.jpg,Windows,Blinds,Plantation Blinds,GII Madera Falsa 2in,,
Blinds,ACH-BLIND-MADERA,GII CORDLESS Madera Falsa 2in Faux Wood Plantation Blind,27x64,Grey,2,0,24.56,images/achim/pdf-ach-blind-madera-grey.jpg,Windows,Blinds,Plantation Blinds,GII Madera Falsa 2in,,
Blinds,ACH-BLIND-MADERA,GII CORDLESS Madera Falsa 2in Faux Wood Plantation Blind,29x64,White,2,0,26.38,images/achim/pdf-ach-blind-madera-white.jpg,Windows,Blinds,Plantation Blinds,GII Madera Falsa 2in,,
Blinds,ACH-BLIND-MADERA,GII CORDLESS Madera Falsa 2in Faux Wood Plantation Blind,29x64,Mahogany,2,0,26.38,images/achim/pdf-ach-blind-madera-mahogany.jpg,Windows,Blinds,Plantation Blinds,GII Madera Falsa 2in,,
Blinds,ACH-BLIND-MADERA,GII CORDLESS Madera Falsa 2in Faux Wood Plantation Blind,29x64,Grey,2,0,26.38,images/achim/pdf-ach-blind-madera-grey.jpg,Windows,Blinds,Plantation Blinds,GII Madera Falsa 2in,,
Blinds,ACH-BLIND-MADERA,GII CORDLESS Madera Falsa 2in Faux Wood Plantation Blind,30x64,White,2,0,27.31,images/achim/pdf-ach-blind-madera-white.jpg,Windows,Blinds,Plantation Blinds,GII Madera Falsa 2in,,
Blinds,ACH-BLIND-MADERA,GII CORDLESS Madera Falsa 2in Faux Wood Plantation Blind,30x64,Mahogany,2,0,27.31,images/achim/pdf-ach-blind-madera-mahogany.jpg,Windows,Blinds,Plantation Blinds,GII Madera Falsa 2in,,
Blinds,ACH-BLIND-MADERA,GII CORDLESS Madera Falsa 2in Faux Wood Plantation Blind,30x64,Grey,2,0,27.31,images/achim/pdf-ach-blind-madera-grey.jpg,Windows,Blinds,Plantation Blinds,GII Madera Falsa 2in,,
Blinds,ACH-BLIND-MADERA,GII CORDLESS Madera Falsa 2in Faux Wood Plantation Blind,31x64,White,2,0,28.19,images/achim/pdf-ach-blind-madera-white.jpg,Windows,Blinds,Plantation Blinds,GII Madera Falsa 2in,,
Blinds,ACH-BLIND-MADERA,GII CORDLESS Madera Falsa 2in Faux Wood Plantation Blind,31x64,Mahogany,2,0,28.19,images/achim/pdf-ach-blind-madera-mahogany.jpg,Windows,Blinds,Plantation Blinds,GII Madera Falsa 2in,,
Blinds,ACH-BLIND-MADERA,GII CORDLESS Madera Falsa 2in Faux Wood Plantation Blind,31x64,Grey,2,0,28.19,images/achim/pdf-ach-blind-madera-grey.jpg,Windows,Blinds,Plantation Blinds,GII Madera Falsa 2in,,
