Code,Material,Description,Size,Unit,On_Website,FOB,Landed,Cheapest_Online,Online_Source,Margin_USD,Margin_Pct,Landed_Basis,Notes
CPVC-PIPE-SCH80,CPVC,ASTM CPVC SCH80 PIPE,"1""",ft,YES,0.39,0.64,9.8,pvcfittingsonline,9.16,93.5,45HQ,
CPVC-PIPE-SCH80,CPVC,ASTM CPVC SCH80 PIPE,"1-1/2""",ft,YES,0.65,1.1,16.59,pvcfittingsonline,15.49,93.4,45HQ,
CPVC-PIPE-SCH80,CPVC,ASTM CPVC SCH80 PIPE,"1-1/4""",ft,YES,0.54,0.9,13.69,pvcfittingsonline,12.79,93.4,45HQ,
CPVC-PIPE-SCH80,CPVC,ASTM CPVC SCH80 PIPE,"1/2""",ft,YES,0.31,0.47,4.92,pvcfittingsonline,4.45,90.4,45HQ,
CPVC-PIPE-SCH80,CPVC,ASTM CPVC SCH80 PIPE,"2""",ft,YES,1.42,2.28,22.91,pvcfittingsonline,20.63,90.0,45HQ,
CPVC-PIPE-SCH80,CPVC,ASTM CPVC SCH80 PIPE,"2-1/2""",ft,YES,1.38,2.37,34.8,pvcfittingsonline,32.43,93.2,45HQ,
CPVC-PIPE-SCH80,CPVC,ASTM CPVC SCH80 PIPE,"3""",ft,YES,2.78,4.56,43.13,pvcfittingsonline,38.57,89.4,45HQ,
CPVC-PIPE-SCH80,CPVC,ASTM CPVC SCH80 PIPE,"3/4""",ft,YES,0.39,0.61,6.68,pvcfittingsonline,6.07,90.9,45HQ,
CPVC-PIPE-SCH80,CPVC,ASTM CPVC SCH80 PIPE,"4""",ft,YES,4.02,6.72,62.9,pvcfittingsonline,56.18,89.3,45HQ,
,CPVC,COUPLING,"1-1/2""",pc,NO,3.54,5.09,12.25,pvcfittingsonline,7.16,58.4,45HQ,
,CPVC,COUPLING,"1-1/2""",pc,NO,3.54,5.1,12.25,pvcfittingsonline,7.15,58.4,45HQ,
,CPVC,COUPLING,"1-1/4""",pc,NO,2.32,3.33,9.78,pvcfittingsonline,6.45,66.0,45HQ,
,CPVC,COUPLING,"1-1/4""",pc,NO,2.32,3.33,9.78,pvcfittingsonline,6.45,66.0,45HQ,
,CPVC,COUPLING,"2""",pc,NO,6.43,9.29,14.22,pvcfittingsonline,4.93,34.7,45HQ,
,CPVC,COUPLING,"2""",pc,NO,6.43,9.31,14.22,pvcfittingsonline,4.91,34.5,45HQ,
,CPVC,COUPLING,"2-1/2""",pc,NO,10.35,15.0,31.73,pvcfittingsonline,16.73,52.7,45HQ,
,CPVC,COUPLING,"3""",pc,NO,15.37,21.95,34.5,pvcfittingsonline,12.55,36.4,ex-freight,
,CPVC,COUPLING,"4""",pc,NO,33.13,47.69,45.15,pvcfittingsonline,-2.54,-5.6,45HQ,
CPVC-PIPE-SDR11,CPVC,CPVC ASTM 2846 PIPE SDR-11,"1x2.6""",ft,YES,0.99,1.46,1.56,homedepot,0.1,6.4,45HQ,
,CPVC,CPVC ASTM 2846 PIPE SDR-11,"1¼x3.18""",ft,NO,1.48,2.18,9.89,flexpvc,7.71,78.0,45HQ,
,CPVC,CPVC ASTM 2846 PIPE SDR-11,"1½x3.76""",ft,NO,2.07,3.04,10.9,flexpvc,7.86,72.1,45HQ,
CPVC-PIPE-SDR11,CPVC,CPVC ASTM 2846 PIPE SDR-11,"2x4.9""",ft,YES,3.53,5.2,17.88,flexpvc,12.68,70.9,45HQ,
,CPVC,CPVC ASTM 2846 PIPE SDR-11,"½x1.73""",ft,NO,0.36,0.52,0.59,homedepot,0.07,11.9,45HQ,
,CPVC,CPVC ASTM 2846 PIPE SDR-11,"¾x2.03""",ft,NO,0.59,0.87,0.91,homedepot,0.04,4.4,45HQ,
CPVC-PIPE-SDR13.5,CPVC,CPVC ASTM 2846 PIPE SDR-13.5,"1x2.03""",ft,YES,0.79,1.18,,,,,45HQ,SDR-13.5 not commonly stocked online
,CPVC,CPVC ASTM 2846 PIPE SDR-13.5,"1¼x2.59""",ft,NO,1.22,1.81,,,,,45HQ,SDR-13.5 not commonly stocked online
,CPVC,CPVC ASTM 2846 PIPE SDR-13.5,"1½x3.06""",ft,NO,1.71,2.55,,,,,45HQ,SDR-13.5 not commonly stocked online
CPVC-PIPE-SDR13.5,CPVC,CPVC ASTM 2846 PIPE SDR-13.5,"2x4.0""",ft,YES,2.93,4.36,,,,,45HQ,SDR-13.5 not commonly stocked online
,CPVC,CPVC ASTM 2846 PIPE SDR-13.5,"½x1.51""",ft,NO,0.32,0.47,,,,,45HQ,SDR-13.5 not commonly stocked online
,CPVC,CPVC ASTM 2846 PIPE SDR-13.5,"¾x1.73""",ft,NO,0.52,0.77,,,,,45HQ,SDR-13.5 not commonly stocked online
,CPVC,TEE,"1""",pc,NO,4.5,6.45,4.52,homedepot,-1.93,-42.7,45HQ,
,CPVC,TEE,"1""",pc,NO,4.5,6.47,9.57,pvcfittingsonline,3.1,32.4,45HQ,
