Tommur_Code,APBS_Code,Description,Size,Unit,Order_Pcs,Pcs_per_Carton,Cartons,CBM,FOB_USD,Notes
D007,PVC-INCREDHH,PIPE INCREASER-REDUCER (H x H),4x3,pc,120,20,6,0.2245,0.84,margin 93%
D066,PVC-SANTEERED,REDUCING SANITARY TEE (ALL HUB),4x4x3,pc,30,10,3,0.167,2.05,margin 92%
D007,PVC-INCREDHH,PIPE INCREASER-REDUCER (H x H),3x2,pc,400,80,5,0.3881,0.43,margin 91%
D007,PVC-INCREDHH,PIPE INCREASER-REDUCER (H x H),2x1-1/2,pc,600,100,6,0.2245,0.15,margin 88%
D066,PVC-SANTEERED,REDUCING SANITARY TEE (ALL HUB),3x3x2,pc,270,15,18,0.6736,1.03,margin 88%
D035,PVC-1/4HH,1/4 BEND (H x H),1-1/2,pc,2900,100,29,1.6147,0.23,margin 87%
D090,PVC-WYEHUB,WYE (ALL HUB),2,pc,400,25,16,0.5988,0.6,margin 85%
D092,PVC-WYERED,REDUCING WYE (ALL HUB),4x4x2,pc,30,10,3,0.167,1.9,margin 84%
D065,PVC-SANTEE,SANITARY TEE (ALL HUB),1-1/2,pc,720,60,12,0.551,0.31,margin 83%
D053,PVC-1/8HH,1/8 BEND (H x H),2,pc,2450,50,49,1.8337,0.31,margin 81%
D065,PVC-SANTEE,SANITARY TEE (ALL HUB),2,pc,595,35,17,0.9465,0.48,margin 81%
D092,PVC-WYERED,REDUCING WYE (ALL HUB),3x3x2,pc,336,12,28,1.0478,1.29,margin 80%
D103,PVC-PTRAP,P-TRAP (H x H),2,pc,30,15,2,0.0748,0.94,margin 79%
D035,PVC-1/4HH,1/4 BEND (H x H),2,pc,1600,50,32,1.7817,0.37,margin 79%
D090,PVC-WYEHUB,WYE (ALL HUB),4,pc,64,8,8,0.6209,3.27,margin 78%
D090,PVC-WYEHUB,WYE (ALL HUB),3,pc,390,15,26,2.018,1.8,margin 78%
D065,PVC-SANTEE,SANITARY TEE (ALL HUB),3,pc,60,15,4,0.2227,1.51,margin 77%
D053,PVC-1/8HH,1/8 BEND (H x H),4,pc,240,15,16,1.2419,1.62,margin 76%
D065,PVC-SANTEE,SANITARY TEE (ALL HUB),4,pc,50,5,10,0.4592,2.65,margin 75%
D053,PVC-1/8HH,1/8 BEND (H x H),3,pc,1325,25,53,2.9509,0.91,margin 74%
D092,PVC-WYERED,REDUCING WYE (ALL HUB),4x4x3,pc,60,10,6,0.4657,2.59,margin 74%
D035,PVC-1/4HH,1/4 BEND (H x H),3,pc,1300,25,52,4.036,1.1,margin 74%
D035,PVC-1/4HH,1/4 BEND (H x H),4,pc,140,10,14,0.7795,2.11,margin 72%
D055,PVC-1/8HS,1/8 BEND STREET (H x S),1-1/2,pc,2500,100,25,0.9355,,PVC DWV fitting family (peer margins 70–90%)
D055,PVC-1/8HS,1/8 BEND STREET (H x S),2,pc,1950,50,39,1.4595,,PVC DWV fitting family (peer margins 70–90%)
D053,PVC-1/8HH,1/8 BEND (H x H),1-1/2,pc,1300,100,13,0.4865,,PVC DWV fitting family (peer margins 70–90%)
D004,PVC-CPLNG,COUPLING (H x H),2,pc,1200,100,12,0.4491,,PVC DWV fitting family (peer margins 70–90%)
D121,PVC-CLSTFLNGH,CLOSET FLANGE W/TEST PLATE (H),4x3,pc,1060,20,53,2.738,,PVC DWV fitting family (peer margins 70–90%)
D055,PVC-1/8HS,1/8 BEND STREET (H x S),3,pc,925,25,37,2.0601,,PVC DWV fitting family (peer margins 70–90%)
D066,PVC-SANTEERED,REDUCING SANITARY TEE (ALL HUB),2x2x1-1/2,pc,850,50,17,0.9465,,PVC DWV fitting family (peer margins 70–90%)
D043,PVC-1/4HHLNG,LONG SWEEP 1/4 BEND (H x H),2,pc,840,60,14,1.0866,,PVC DWV fitting family (peer margins 70–90%)
D043,PVC-1/4HHLNG,LONG SWEEP 1/4 BEND (H x H),3,pc,840,10,84,3.1434,,PVC DWV fitting family (peer margins 70–90%)
D066,PVC-SANTEERED,REDUCING SANITARY TEE (ALL HUB),2x1-1/2x1-1/2,pc,840,60,14,1.0866,,PVC DWV fitting family (peer margins 70–90%)
D066,PVC-SANTEERED,REDUCING SANITARY TEE (ALL HUB),2x1-1/2x2,pc,840,60,14,1.0866,,PVC DWV fitting family (peer margins 70–90%)
D004,PVC-CPLNG,COUPLING (H x H),1-1/2,pc,800,400,2,0.1552,,PVC DWV fitting family (peer margins 70–90%)
D004,PVC-CPLNG,COUPLING (H x H),3,pc,720,60,12,0.6681,,PVC DWV fitting family (peer margins 70–90%)
D021,PVC-MADPTR,MALE ADAPTER (MPT x H),1-1/2,pc,600,300,2,0.1552,,PVC DWV fitting family (peer margins 70–90%)
D025,PVC-CAPSOC,CAP (SOC),1-1/2,pc,480,240,2,0.0748,,PVC DWV fitting family (peer margins 70–90%)
A 062,PVC-PTRAPLOW,"P-TRAP, LOW PROFILE(HxH)",2,pc,435,15,29,1.0852,,PVC DWV fitting family (peer margins 70–90%)
D078,PVC-CLEANTEE,CLEANOUT TEE W/ C.O. PLUG (H x H),2,pc,420,60,7,0.5433,,PVC DWV fitting family (peer margins 70–90%)
D057,PVC-1/16HH,1/16 BEND (H x H),1-1/2,pc,400,200,2,0.1552,,PVC DWV fitting family (peer margins 70–90%)
D059,PVC-1/16HS,"1/16 BEND, STREET (H x S)",1-1/2,pc,400,200,2,0.1552,,PVC DWV fitting family (peer margins 70–90%)
D019,PVC-BUSHINGHS,FLUSH BUSHING (H x S),2x1-1/2,pc,400,200,2,0.0748,,PVC DWV fitting family (peer margins 70–90%)
D021,PVC-MADPTR,MALE ADAPTER (MPT x H),2,pc,400,200,2,0.1552,,PVC DWV fitting family (peer margins 70–90%)
A 062,PVC-PTRAPLOW,"P-TRAP, LOW PROFILE(HxH)",1-1/2,pc,375,25,15,0.4082,,PVC DWV fitting family (peer margins 70–90%)
D040,PVC-1/4HS,"1/4 BEND, STREET (H x S)",1-1/2,pc,360,180,2,0.1552,,PVC DWV fitting family (peer margins 70–90%)
D025,PVC-CAPSOC,CAP (SOC),2,pc,360,180,2,0.0748,,PVC DWV fitting family (peer margins 70–90%)
