Tommur_Code,APBS_Code,Description,Size,Unit,Order_Pcs,Pcs_per_Carton,Cartons,CBM,FOB_USD,Notes
D035,PVC-1/4HH,1/4 BEND (H x H),1-1/2,pc,5200,100,52,2.8953,0.23,3mo core; +2 mo deepen
D053,PVC-1/8HH,1/8 BEND (H x H),2,pc,3950,50,79,2.9564,0.31,3mo core; +2 mo deepen
D055,PVC-1/8HS,1/8 BEND STREET (H x S),1-1/2,pc,3700,100,37,1.3846,,3mo core; +2 mo deepen
D055,PVC-1/8HS,1/8 BEND STREET (H x S),2,pc,3450,50,69,2.5822,,3mo core; +2 mo deepen
D035,PVC-1/4HH,1/4 BEND (H x H),2,pc,3350,50,67,3.7304,0.37,3mo core; +2 mo deepen
D035,PVC-1/4HH,1/4 BEND (H x H),3,pc,2650,25,106,8.2273,1.1,3mo core; +2 mo deepen
D053,PVC-1/8HH,1/8 BEND (H x H),3,pc,2500,25,100,5.5678,0.91,3mo core; +2 mo deepen
D053,PVC-1/8HH,1/8 BEND (H x H),1-1/2,pc,2300,100,23,0.8607,,3mo core; +2 mo deepen
D055,PVC-1/8HS,1/8 BEND STREET (H x S),3,pc,2000,25,80,4.4543,,3mo core; +2 mo deepen
D121,PVC-CLSTFLNGH,CLOSET FLANGE W/TEST PLATE (H),4x3,pc,1900,20,95,4.9077,,3mo core; +2 mo deepen
D066,PVC-SANTEERED,REDUCING SANITARY TEE (ALL HUB),2x2x1-1/2,pc,1450,50,29,1.6146,,3mo core; +2 mo deepen
D004,PVC-CPLNG,COUPLING (H x H),2,pc,1200,100,12,0.4491,,3mo core
D065,PVC-SANTEE,SANITARY TEE (ALL HUB),1-1/2,pc,1140,60,19,0.8724,0.31,3mo core; +2 mo deepen
D007,PVC-INCREDHH,PIPE INCREASER-REDUCER (H x H),2x1-1/2,pc,1000,100,10,0.3742,0.15,3mo core; +2 mo deepen
D065,PVC-SANTEE,SANITARY TEE (ALL HUB),2,pc,910,35,26,1.4476,0.48,3mo core; +2 mo deepen
D043,PVC-1/4HHLNG,LONG SWEEP 1/4 BEND (H x H),2,pc,840,60,14,1.0866,,3mo core
D043,PVC-1/4HHLNG,LONG SWEEP 1/4 BEND (H x H),3,pc,840,10,84,3.1434,,3mo core
D066,PVC-SANTEERED,REDUCING SANITARY TEE (ALL HUB),2x1-1/2x1-1/2,pc,840,60,14,1.0866,,3mo core
D066,PVC-SANTEERED,REDUCING SANITARY TEE (ALL HUB),2x1-1/2x2,pc,840,60,14,1.0866,,3mo core
D090,PVC-WYEHUB,WYE (ALL HUB),2,pc,800,25,32,1.1976,0.6,3mo core; +2 mo deepen
D004,PVC-CPLNG,COUPLING (H x H),1-1/2,pc,800,400,2,0.1552,,3mo core
D004,PVC-CPLNG,COUPLING (H x H),3,pc,720,60,12,0.6681,,3mo core
D007,PVC-INCREDHH,PIPE INCREASER-REDUCER (H x H),3x2,pc,640,80,8,0.6209,0.43,3mo core; +2 mo deepen
D021,PVC-MADPTR,MALE ADAPTER (MPT x H),1-1/2,pc,600,300,2,0.1552,,3mo core
D090,PVC-WYEHUB,WYE (ALL HUB),3,pc,585,15,39,3.027,1.8,3mo core; +2 mo deepen
D092,PVC-WYERED,REDUCING WYE (ALL HUB),3x3x2,pc,564,12,47,1.7588,1.29,3mo core; +2 mo deepen
D066,PVC-SANTEERED,REDUCING SANITARY TEE (ALL HUB),3x3x2,pc,495,15,33,1.2349,1.03,3mo core; +2 mo deepen
D025,PVC-CAPSOC,CAP (SOC),1-1/2,pc,480,240,2,0.0748,,3mo core
A 062,PVC-PTRAPLOW,"P-TRAP, LOW PROFILE(HxH)",2,pc,435,15,29,1.0852,,3mo core
D078,PVC-CLEANTEE,CLEANOUT TEE W/ C.O. PLUG (H x H),2,pc,420,60,7,0.5433,,3mo core
D057,PVC-1/16HH,1/16 BEND (H x H),1-1/2,pc,400,200,2,0.1552,,3mo core
D059,PVC-1/16HS,"1/16 BEND, STREET (H x S)",1-1/2,pc,400,200,2,0.1552,,3mo core
D019,PVC-BUSHINGHS,FLUSH BUSHING (H x S),2x1-1/2,pc,400,200,2,0.0748,,3mo core
D021,PVC-MADPTR,MALE ADAPTER (MPT x H),2,pc,400,200,2,0.1552,,3mo core
D053,PVC-1/8HH,1/8 BEND (H x H),4,pc,375,15,25,1.9404,1.62,3mo core; +2 mo deepen
A 062,PVC-PTRAPLOW,"P-TRAP, LOW PROFILE(HxH)",1-1/2,pc,375,25,15,0.4082,,3mo core
D040,PVC-1/4HS,"1/4 BEND, STREET (H x S)",1-1/2,pc,360,180,2,0.1552,,3mo core
D025,PVC-CAPSOC,CAP (SOC),2,pc,360,180,2,0.0748,,3mo core
D035,PVC-1/4HH,1/4 BEND (H x H),4,pc,300,10,30,1.6703,2.11,3mo core; +2 mo deepen
D057,PVC-1/16HH,1/16 BEND (H x H),2,pc,300,100,3,0.2328,,3mo core
