Tommur_Code,APBS_Code,Description,Size,Material,Unit,Order_Pcs,Pcs_per_Carton,Cartons,CBM,Carton_L_cm,Carton_W_cm,Carton_H_cm,Carton_LxWxH_cm,Carton_NetWt_kg,FedEx_DimWt_lb,FOB_USD,Est_Landed_45HQ_USD,DDP_if_no_FOB,Notes
D057,PVC-1/16HH,1/16 BEND (H x H),"1-1/2""",PVC,pc,400,200,2,0.1552,56,42,33,56x42x33,12.00,34.1,,,0.1620,3mo sales
D057,PVC-1/16HH,1/16 BEND (H x H),"2""",PVC,pc,300,100,3,0.2328,56,42,33,56x42x33,9.03,34.1,,,0.2441,3mo sales
D057,PVC-1/16HH,1/16 BEND (H x H),"3""",PVC,pc,150,25,6,0.2245,40.5,28,33,40.5x28x33,7.30,16.4,,,0.8100,3mo sales
D059,PVC-1/16HS,"1/16 BEND, STREET (H x S)","1-1/2""",PVC,pc,400,200,2,0.1552,56,42,33,56x42x33,11.20,34.1,,,0.1519,3mo sales
D059,PVC-1/16HS,"1/16 BEND, STREET (H x S)","2""",PVC,pc,300,100,3,0.2328,56,42,33,56x42x33,9.30,34.1,,,0.2509,3mo sales
D059,PVC-1/16HS,"1/16 BEND, STREET (H x S)","3""",PVC,pc,150,25,6,0.2245,40.5,28,33,40.5x28x33,6.90,16.4,,,0.7538,3mo sales
D035,PVC-1/4HH,1/4 BEND (H x H),"1-1/2""",PVC,pc,2900,100,29,1.6147,41,28,48.5,41x28x48.5,10.90,24.4,0.2307,0.3748,,3mo sales
D035,PVC-1/4HH,1/4 BEND (H x H),"2""",PVC,pc,1600,50,32,1.7817,41,28,48.5,41x28x48.5,7.90,24.4,0.3734,0.6239,,3mo sales
D035,PVC-1/4HH,1/4 BEND (H x H),"3""",PVC,pc,1300,25,52,4.036,56,42,33,56x42x33,11.18,34.1,1.1046,1.8301,,3mo sales
D035,PVC-1/4HH,1/4 BEND (H x H),"4""",PVC,pc,140,10,14,0.7795,41,28,48.5,41x28x48.5,8.24,24.4,2.1055,3.4598,,3mo sales
D035,PVC-1/4HH,1/4 BEND (H x H),"6""",PVC,pc,40,4,10,0.7762,56,42,33,56x42x33,8.01,34.1,5.7095,9.7326,,expand product line
D050,PVC-1/4LOWHEEL,1/4 BEND W/ LOW HEEL INLET (H x H x H),"3x3x2""",PVC,pc,190,10,19,0.711,40.5,28,33,40.5x28x33,5.75,16.4,,,1.3163,3mo sales
D040,PVC-1/4HS,"1/4 BEND, STREET (H x S)","1-1/2""",PVC,pc,360,180,2,0.1552,56,42,33,56x42x33,15.25,34.1,,,0.2295,3mo sales
D040,PVC-1/4HS,"1/4 BEND, STREET (H x S)","2""",PVC,pc,300,50,6,0.2245,40.5,28,33,40.5x28x33,6.95,16.4,,,0.3848,3mo sales
D040,PVC-1/4HS,"1/4 BEND, STREET (H x S)","3""",PVC,pc,140,20,7,0.3897,41,28,48.5,41x28x48.5,9.00,24.4,,,1.2150,3mo sales
D040,PVC-1/4HS,"1/4 BEND, STREET (H x S)","4""",PVC,pc,30,10,3,0.167,41,28,48.5,41x28x48.5,7.98,24.4,,,2.1600,3mo sales
D053,PVC-1/8HH,1/8 BEND (H x H),"1-1/2""",PVC,pc,1300,100,13,0.4865,40.5,28,33,40.5x28x33,8.40,16.4,,,0.2273,3mo sales
D053,PVC-1/8HH,1/8 BEND (H x H),"2""",PVC,pc,2450,50,49,1.8337,40.5,28,33,40.5x28x33,6.52,16.4,0.3060,0.4978,,3mo sales
D053,PVC-1/8HH,1/8 BEND (H x H),"3""",PVC,pc,1325,25,53,2.9509,41,28,48.5,41x28x48.5,9.73,24.4,0.9091,1.4795,,3mo sales
D053,PVC-1/8HH,1/8 BEND (H x H),"4""",PVC,pc,240,15,16,1.2419,56,42,33,56x42x33,10.32,34.1,1.6227,2.7384,,3mo sales
D053,PVC-1/8HH,1/8 BEND (H x H),"6""",PVC,pc,40,5,8,0.6209,56,42,33,56x42x33,7.10,34.1,3.5094,6.2749,,expand product line
D053,PVC-1/8HH,1/8 BEND (H x H),"8""",PVC,pc,40,4,10,1.5842,61,53,49,61x53x49,11.13,69.5,6.7353,12.8416,,expand product line
D055,PVC-1/8HS,1/8 BEND STREET (H x S),"1-1/2""",PVC,pc,2500,100,25,0.9355,40.5,28,33,40.5x28x33,8.40,16.4,,,0.2273,3mo sales
D055,PVC-1/8HS,1/8 BEND STREET (H x S),"2""",PVC,pc,1950,50,39,1.4595,40.5,28,33,40.5x28x33,7.00,16.4,,,0.3500,3mo sales
D055,PVC-1/8HS,1/8 BEND STREET (H x S),"3""",PVC,pc,925,25,37,2.0601,41,28,48.5,41x28x48.5,9.25,24.4,,,1.0013,3mo sales
D055,PVC-1/8HS,1/8 BEND STREET (H x S),"4""",PVC,pc,243,9,27,1.0104,40.5,28,33,40.5x28x33,5.58,16.4,,,1.6000,3mo sales
D025,PVC-CAPSOC,CAP (SOC),"1-1/2""",PVC,pc,480,240,2,0.0748,40.5,28,33,40.5x28x33,7.44,16.4,,,0.0906,3mo sales
D025,PVC-CAPSOC,CAP (SOC),"2""",PVC,pc,360,180,2,0.0748,40.5,28,33,40.5x28x33,7.92,16.4,,,0.1294,3mo sales
D025,PVC-CAPSOC,CAP (SOC),"3""",PVC,pc,120,60,2,0.0748,40.5,28,33,40.5x28x33,9.00,16.4,,,0.4286,3mo sales
D025,PVC-CAPSOC,CAP (SOC),"4""",PVC,pc,40,20,2,0.0748,40.5,28,33,40.5x28x33,5.20,16.4,,,0.7538,3mo sales
D078,PVC-CLEANTEE,CLEANOUT TEE W/ C.O. PLUG (H x H),"2""",PVC,pc,420,60,7,0.5433,56,42,33,56x42x33,12.24,34.1,,,0.5625,3mo sales
D078,PVC-CLEANTEE,CLEANOUT TEE W/ C.O. PLUG (H x H),"3""",PVC,pc,180,20,9,0.5011,41,28,48.5,41x28x48.5,11.00,24.4,,,1.5638,3mo sales
D078,PVC-CLEANTEE,CLEANOUT TEE W/ C.O. PLUG (H x H),"4""",PVC,pc,30,10,3,0.167,41,28,48.5,41x28x48.5,9.76,24.4,,,2.7788,3mo sales
D121,PVC-CLSTFLNGH,CLOSET FLANGE W/TEST PLATE (H),"4x3""",PVC,pc,1060,20,53,2.738,41,28,45,41x28x45,7.84,22.7,,,1.3140,3mo sales
D004,PVC-CPLNG,COUPLING (H x H),"1-1/2""",PVC,pc,800,400,2,0.1552,56,42,33,56x42x33,16.40,34.1,,,0.1193,3mo sales
D004,PVC-CPLNG,COUPLING (H x H),"2""",PVC,pc,1200,100,12,0.4491,40.5,28,33,40.5x28x33,6.20,16.4,,,0.1688,3mo sales
D004,PVC-CPLNG,COUPLING (H x H),"3""",PVC,pc,720,60,12,0.6681,41,28,48.5,41x28x48.5,12.24,24.4,,,0.5513,3mo sales
D004,PVC-CPLNG,COUPLING (H x H),"4""",PVC,pc,250,25,10,0.5568,41,28,48.5,41x28x48.5,8.78,24.4,,,0.9450,3mo sales
D073,PVC-SANTEEDBL,"DOUBLE SANITARY TEE, REDUCING (ALL HUB)","2x2x1-1/2x1-1/2""",PVC,pc,150,25,6,0.2245,40.5,28,33,40.5x28x33,5.25,16.4,,,0.5625,3mo sales
D019,PVC-BUSHINGHS,FLUSH BUSHING (H x S),"2x1-1/2""",PVC,pc,400,200,2,0.0748,40.5,28,33,40.5x28x33,9.00,16.4,,,0.1215,3mo sales
D019,PVC-BUSHINGHS,FLUSH BUSHING (H x S),"3x2""",PVC,pc,240,120,2,0.1552,56,42,33,56x42x33,20.40,34.1,,,0.4590,3mo sales
D019,PVC-BUSHINGHS,FLUSH BUSHING (H x S),"4x3""",PVC,pc,150,30,5,0.1871,40.5,28,33,40.5x28x33,6.90,16.4,,,0.6188,3mo sales
D043,PVC-1/4HHLNG,LONG SWEEP 1/4 BEND (H x H),"2""",PVC,pc,840,60,14,1.0866,56,42,33,56x42x33,11.16,34.1,,,0.5153,3mo sales
D043,PVC-1/4HHLNG,LONG SWEEP 1/4 BEND (H x H),"3""",PVC,pc,840,10,84,3.1434,40.5,28,33,40.5x28x33,5.29,16.4,,,1.4850,3mo sales
D043,PVC-1/4HHLNG,LONG SWEEP 1/4 BEND (H x H),"4""",PVC,pc,30,5,6,0.2245,40.5,28,33,40.5x28x33,4.79,16.4,,,2.5875,3mo sales
D021,PVC-MADPTR,MALE ADAPTER (MPT x H),"1-1/2""",PVC,pc,600,300,2,0.1552,56,42,33,56x42x33,11.10,34.1,,,0.1001,3mo sales
D021,PVC-MADPTR,MALE ADAPTER (MPT x H),"2""",PVC,pc,400,200,2,0.1552,56,42,33,56x42x33,9.80,34.1,,,0.1328,3mo sales
D103,PVC-PTRAP,P-TRAP (H x H),"1-1/2""",PVC,pc,75,25,3,0.1123,40.5,28,33,40.5x28x33,5.74,16.4,,,0.6188,3mo sales
D103,PVC-PTRAP,P-TRAP (H x H),"2""",PVC,pc,30,15,2,0.0748,40.5,28,33,40.5x28x33,6.01,16.4,0.9434,1.5503,,3mo sales
D103,PVC-PTRAP,P-TRAP (H x H),"3""",PVC,pc,20,10,2,0.1552,56,42,33,56x42x33,10.79,34.1,,,2.9138,3mo sales
D103,PVC-PTRAP,P-TRAP (H x H),"4""",PVC,pc,8,4,2,0.1114,41,28,48.5,41x28x48.5,7.38,24.4,,,5.1863,3mo sales
A 062,PVC-PTRAPLOW,"P-TRAP, LOW PROFILE(HxH)","1-1/2""",PVC,pc,375,25,15,0.4082,40.5,28,24,40.5x28x24,5.58,11.9,,,0.6075,3mo sales
A 062,PVC-PTRAPLOW,"P-TRAP, LOW PROFILE(HxH)","2""",PVC,pc,435,15,29,1.0852,40.5,28,33,40.5x28x33,5.80,16.4,,,1.0238,3mo sales
A 062,PVC-PTRAPLOW,"P-TRAP, LOW PROFILE(HxH)","3""",PVC,pc,240,10,24,1.8628,56,42,33,56x42x33,11.00,34.1,,,2.9813,3mo sales
A 062,PVC-PTRAPLOW,"P-TRAP, LOW PROFILE(HxH)","4""",PVC,pc,48,4,12,0.6681,41,28,48.5,41x28x48.5,7.30,24.4,,,5.2763,3mo sales
D007,PVC-INCREDHH,PIPE INCREASER-REDUCER (H x H),"2x1-1/2""",PVC,pc,600,100,6,0.2245,40.5,28,33,40.5x28x33,6.30,16.4,0.1486,0.2394,,3mo sales
D007,PVC-INCREDHH,PIPE INCREASER-REDUCER (H x H),"3x2""",PVC,pc,400,80,5,0.3881,56,42,33,56x42x33,14.56,34.1,0.4272,0.6796,,3mo sales
D007,PVC-INCREDHH,PIPE INCREASER-REDUCER (H x H),"4x3""",PVC,pc,120,20,6,0.2245,40.5,28,33,40.5x28x33,7.28,16.4,0.8407,1.3343,,3mo sales
D007,PVC-INCREDHH,PIPE INCREASER-REDUCER (H x H),"10x6""",PVC,pc,48,12,4,0.8119,61,55,60.5,61x55x60.5,38.41,89.1,8.9537,13.9658,,expand product line
D007,PVC-INCREDHH,PIPE INCREASER-REDUCER (H x H),"10x8""",PVC,pc,50,10,5,1.0149,61,55,60.5,61x55x60.5,33.19,89.1,8.9537,14.2411,,expand product line
D007,PVC-INCREDHH,PIPE INCREASER-REDUCER (H x H),"4x2""",PVC,pc,80,40,2,0.1552,56,42,33,56x42x33,13.56,34.1,0.7527,1.2163,,expand product line
D007,PVC-INCREDHH,PIPE INCREASER-REDUCER (H x H),"6x3""",PVC,pc,60,15,4,0.3105,56,42,33,56x42x33,14.84,34.1,3.0210,4.6687,,expand product line
D007,PVC-INCREDHH,PIPE INCREASER-REDUCER (H x H),"6x4""",PVC,pc,48,6,8,0.2994,40.5,28,33,40.5x28x33,4.97,16.4,1.9453,3.2428,,expand product line
D007,PVC-INCREDHH,PIPE INCREASER-REDUCER (H x H),"8x6""",PVC,pc,48,12,4,0.4418,49,46,49,49x46x49,21.41,48.5,4.1155,6.5355,,expand product line
D097,PVC-WYEDBL,REDUCING DOUBLE WYE (ALL HUB),"3x3x2x2""",PVC,pc,105,15,7,0.5433,56,42,33,56x42x33,8.88,34.1,,,1.6650,3mo sales
D066,PVC-SANTEERED,REDUCING SANITARY TEE (ALL HUB),"2x1-1/2""",PVC,pc,250,50,5,0.2382,41,28,41.5,41x28x41.5,9.50,20.9,0.4190,0.6759,,expand product line
D066,PVC-SANTEERED,REDUCING SANITARY TEE (ALL HUB),"2x1-1/2x1-1/2""",PVC,pc,840,60,14,1.0866,56,42,33,56x42x33,9.60,34.1,,,0.4511,3mo sales
D066,PVC-SANTEERED,REDUCING SANITARY TEE (ALL HUB),"2x1-1/2x2""",PVC,pc,840,60,14,1.0866,56,42,33,56x42x33,11.44,34.1,,,0.5153,3mo sales
D066,PVC-SANTEERED,REDUCING SANITARY TEE (ALL HUB),"2x2x1-1/2""",PVC,pc,850,50,17,0.9465,41,28,48.5,41x28x48.5,8.15,24.4,,,0.4714,3mo sales
D066,PVC-SANTEERED,REDUCING SANITARY TEE (ALL HUB),"3x2""",PVC,pc,240,15,16,0.6061,41,28,33,41x28x33,6.20,16.6,1.0500,1.7050,,expand product line
D066,PVC-SANTEERED,REDUCING SANITARY TEE (ALL HUB),"3x3x2""",PVC,pc,270,15,18,0.6736,40.5,28,33,40.5x28x33,6.20,16.4,1.0264,1.6688,,3mo sales
D066,PVC-SANTEERED,REDUCING SANITARY TEE (ALL HUB),"4x4x2""",PVC,pc,120,10,12,0.4491,40.5,28,33,40.5x28x33,5.94,16.4,1.3979,2.3008,,expand product line
D066,PVC-SANTEERED,REDUCING SANITARY TEE (ALL HUB),"4x4x3""",PVC,pc,30,10,3,0.167,41,28,48.5,41x28x48.5,8.17,24.4,2.0529,3.3847,,3mo sales
D092,PVC-WYERED,REDUCING WYE (ALL HUB),"3x3x2""",PVC,pc,336,12,28,1.0478,40.5,28,33,40.5x28x33,6.60,16.4,1.2904,2.0965,,3mo sales
D092,PVC-WYERED,REDUCING WYE (ALL HUB),"4x4x2""",PVC,pc,30,10,3,0.167,41,28,48.5,41x28x48.5,8.08,24.4,1.8964,3.1613,,3mo sales
D092,PVC-WYERED,REDUCING WYE (ALL HUB),"4x4x3""",PVC,pc,60,10,6,0.4657,56,42,33,56x42x33,10.63,34.1,2.5905,4.3310,,3mo sales
D092,PVC-WYERED,REDUCING WYE (ALL HUB),"6x6x2""",PVC,pc,40,5,8,0.6209,56,42,33,56x42x33,9.70,34.1,4.5554,7.7686,,expand product line
D092,PVC-WYERED,REDUCING WYE (ALL HUB),"6x6x3""",PVC,pc,39,3,13,0.7238,41,28,48.5,41x28x48.5,6.15,24.4,4.8095,8.3787,,expand product line
D092,PVC-WYERED,REDUCING WYE (ALL HUB),"6x6x4""",PVC,pc,40,4,10,0.8618,56,40.5,38,56x40.5x38,8.73,37.8,5.3472,9.3895,,expand product line
D092,PVC-WYERED,REDUCING WYE (ALL HUB),"8x8x4""",PVC,pc,40,4,10,1.5842,61,53,49,61x53x49,14.86,69.5,8.9935,16.0663,,expand product line
D092,PVC-WYERED,REDUCING WYE (ALL HUB),"8x8x6""",PVC,pc,40,2,20,2.2089,49,46,49,49x46x49,9.67,48.5,11.6915,21.1904,,expand product line
D065,PVC-SANTEE,SANITARY TEE (ALL HUB),"1-1/2""",PVC,pc,720,60,12,0.551,41,28,40,41x28x40,8.04,20.2,0.3059,0.4991,,3mo sales
D065,PVC-SANTEE,SANITARY TEE (ALL HUB),"2""",PVC,pc,595,35,17,0.9465,41,28,48.5,41x28x48.5,7.49,24.4,0.4845,0.8213,,3mo sales
D065,PVC-SANTEE,SANITARY TEE (ALL HUB),"3""",PVC,pc,60,15,4,0.2227,41,28,48.5,41x28x48.5,9.51,24.4,1.5054,2.4519,,3mo sales
D065,PVC-SANTEE,SANITARY TEE (ALL HUB),"4""",PVC,pc,50,5,10,0.4592,41,28,40,41x28x40,5.81,20.2,2.6505,4.5324,,3mo sales
D090,PVC-WYEHUB,WYE (ALL HUB),"1-1/2""",PVC,pc,200,50,4,0.1837,41,28,40,41x28x40,8.20,20.2,,,0.4545,expand product line
D090,PVC-WYEHUB,WYE (ALL HUB),"2""",PVC,pc,400,25,16,0.5988,40.5,28,33,40.5x28x33,6.38,16.4,0.5963,0.9734,,3mo sales
D090,PVC-WYEHUB,WYE (ALL HUB),"3""",PVC,pc,390,15,26,2.018,56,42,33,56x42x33,11.49,34.1,1.7987,2.9897,,3mo sales
D090,PVC-WYEHUB,WYE (ALL HUB),"4""",PVC,pc,64,8,8,0.6209,56,42,33,56x42x33,10.80,34.1,3.2748,5.4661,,3mo sales
D090,PVC-WYEHUB,WYE (ALL HUB),"6""",PVC,pc,60,2,30,2.3285,56,42,33,56x42x33,5.92,34.1,7.5662,13.9634,,expand product line
PEXB,PEX-ELBOW,ELBOW,"1-1/2""",PEX,pc,100,100,1,0.15,50,50,60,50x50x60,25.10,65.9,4.2433,6.1816,,PEX 3mo starter
PEXB,PEX-ELBOW,ELBOW,"1-1/4""",PEX,pc,200,100,2,0.25,50,50,50,50x50x50,21.40,54.9,2.4897,3.6570,,PEX 3mo starter
PEXB,PEX-ELBOW,ELBOW,"1/2""",PEX,pc,1200,100,12,0.72,50,50,24,50x50x24,12.20,26.3,0.4659,0.7141,,PEX 3mo starter
PEXB,PEX-ELBOW,ELBOW,"2""",PEX,pc,100,100,1,0.06,50,50,24,50x50x24,12.20,26.3,8.5387,12.2422,,PEX 3mo starter
PEXB,PEX-ELBOW,ELBOW,"3/4""",PEX,pc,900,100,9,0.585,50,50,26,50x50x26,13.60,28.5,0.7896,1.1804,,PEX 3mo starter
PEXB,PEX-CPLNG,PEX COUPLING,"1""",PEX,pc,240,150,2,0.12,,,,,,,,,,NEW SKU — factory quote FOB + confirm carton pack
PEXB,PEX-CPLNG,PEX COUPLING,"1/2""",PEX,pc,900,300,3,0.18,,,,,,,,,,NEW SKU — factory quote FOB + confirm carton pack
PEXB,PEX-CPLNG,PEX COUPLING,"3/4""",PEX,pc,600,200,3,0.195,,,,,,,,,,NEW SKU — factory quote FOB + confirm carton pack
PEXB,PEX-FADPTR,PEX FEMALE ADAPTER (PEX x FIPT),"1/2""",PEX,pc,300,200,2,0.12,,,,,,,,,,NEW SKU — factory quote FOB + confirm carton pack
PEXB,PEX-FADPTR,PEX FEMALE ADAPTER (PEX x FIPT),"3/4""",PEX,pc,300,150,2,0.13,,,,,,,,,,NEW SKU — factory quote FOB + confirm carton pack
PEXB,PEX-MADPTR,PEX MALE ADAPTER (PEX x MIPT),"1/2""",PEX,pc,500,200,3,0.18,,,,,,,,,,NEW SKU — factory quote FOB + confirm carton pack
