APBS_Code,Material,Description,Size,Target_Unit,Pack_Qty,Qty_Wanted_Pcs,Tommur_Code,Lesso_Code,Sub_Sub_Category
CPVC-PIPE-SCH80,CPVC,ASTM CPVC SCH80 Pipe,"1""",ft,1,,A0202P,,CPVC Pipes
CPVC-PIPE-SCH80,CPVC,ASTM CPVC SCH80 Pipe,"1/2""",ft,1,,A0202P,,CPVC Pipes
CPVC-PIPE-SCH80,CPVC,ASTM CPVC SCH80 Pipe,"1-1/2""",ft,1,,A0202P,,CPVC Pipes
CPVC-PIPE-SCH80,CPVC,ASTM CPVC SCH80 Pipe,"1-1/4""",ft,1,,A0202P,,CPVC Pipes
CPVC-PIPE-SCH80,CPVC,ASTM CPVC SCH80 Pipe,"2""",ft,1,,A0202P,,CPVC Pipes
CPVC-PIPE-SCH80,CPVC,ASTM CPVC SCH80 Pipe,"2-1/2""",ft,1,,A0202P,,CPVC Pipes
CPVC-PIPE-SCH80,CPVC,ASTM CPVC SCH80 Pipe,"3""",ft,1,,A0202P,,CPVC Pipes
CPVC-PIPE-SCH80,CPVC,ASTM CPVC SCH80 Pipe,"3/4""",ft,1,,A0202P,,CPVC Pipes
CPVC-PIPE-SCH80,CPVC,ASTM CPVC SCH80 Pipe,"4""",ft,1,,A0202P,,CPVC Pipes
CPVC-PIPE-SDR11,CPVC,CPVC ASTM 2846 PIPE SDR-11,"1"" x 2.6""",ft,1,,CPVC ASTM 2846 PIPE SDR-11,,CPVC Pipes
CPVC-PIPE-SDR11,CPVC,CPVC ASTM 2846 PIPE SDR-11,"1/2"" x 1.73""",ft,1,,CPVC ASTM 2846 PIPE SDR-11,,CPVC Pipes
CPVC-PIPE-SDR11,CPVC,CPVC ASTM 2846 PIPE SDR-11,"1-1/2"" x 3.76""",ft,1,,CPVC ASTM 2846 PIPE SDR-11,,CPVC Pipes
CPVC-PIPE-SDR11,CPVC,CPVC ASTM 2846 PIPE SDR-11,"1-1/4"" x 3.18""",ft,1,,CPVC ASTM 2846 PIPE SDR-11,,CPVC Pipes
CPVC-PIPE-SDR11,CPVC,CPVC ASTM 2846 PIPE SDR-11,"2"" x 4.9""",ft,1,,CPVC ASTM 2846 PIPE SDR-11,,CPVC Pipes
