APBS_Code,Material,Description,Size,Target_Unit,Pack_Qty,Qty_Wanted_Pcs,Tommur_Code,Lesso_Code,Sub_Sub_Category
PEX-B PIPE,PEX,PEX-B PIPE,"1""",ft,100,2400,4B100H,,PEX Pipes
PEX-B PIPE,PEX,PEX-B PIPE,"1/2""",ft,100,6000,4B100H,,PEX Pipes
PEX-B PIPE,PEX,PEX-B PIPE,"1-1/2""",ft,100,600,4B100H,,PEX Pipes
PEX-B PIPE,PEX,PEX-B PIPE,"1-1/4""",ft,100,900,4B100H,,PEX Pipes
PEX-B PIPE,PEX,PEX-B PIPE,"2""",ft,100,300,4B100H,,PEX Pipes
PEX-B PIPE,PEX,PEX-B PIPE,"3/4""",ft,100,4500,4B100H,,PEX Pipes
PEX-ELBOW,PEX,ELBOW,"1/2""",pc,100,1200,PEXB,,PEX Fittings
PEX-ELBOW,PEX,ELBOW,"1-1/2""",pc,100,100,PEXB,,PEX Fittings
PEX-ELBOW,PEX,ELBOW,"1-1/4""",pc,100,200,PEXB,,PEX Fittings
PEX-ELBOW,PEX,ELBOW,"2""",pc,100,100,PEXB,,PEX Fittings
PEX-ELBOW,PEX,ELBOW,"3/4""",pc,100,900,PEXB,,PEX Fittings
PEX-REDUCER,PEX,REDUCER,"1"" x 1/2""",pc,100,,PEXB,,PEX Fittings
PEX-REDUCER,PEX,REDUCER,"1-1/2"" x 3/4""",pc,100,,PEXB,,PEX Fittings
PEX-REDUCER,PEX,REDUCER,"2"" x 3/4""",pc,100,,PEXB,,PEX Fittings
PEX-REDUCER,PEX,REDUCER,"3/4"" x 1/2""",pc,100,,PEXB,,PEX Fittings
