Tommur_Code,APBS_Code,Description,Size,Material,Unit,Order_Pcs,Pcs_per_Carton,Cartons,CBM,Carton_L_in,Carton_W_in,Carton_H_in,Carton_LxWxH_in,Carton_NetWt_lb,FedEx_DimWt_lb,FOB_USD,Est_Landed_45HQ_USD,DDP_USD,Notes
D057,PVC-1/16HH,1/16 BEND (H x H),"1-1/2""",PVC,pc,400,200,2,0.1552,22.0,16.5,13.0,22.0x16.5x13.0,26.5,34.1,,,0.1620,3mo sales
D057,PVC-1/16HH,1/16 BEND (H x H),"2""",PVC,pc,300,100,3,0.2328,22.0,16.5,13.0,22.0x16.5x13.0,19.9,34.1,,,0.2441,3mo sales
D057,PVC-1/16HH,1/16 BEND (H x H),"3""",PVC,pc,150,25,6,0.2245,15.9,11.0,13.0,15.9x11.0x13.0,16.1,16.4,,,0.8100,3mo sales
D059,PVC-1/16HS,"1/16 BEND, STREET (H x S)","1-1/2""",PVC,pc,400,200,2,0.1552,22.0,16.5,13.0,22.0x16.5x13.0,24.7,34.1,,,0.1519,3mo sales
D059,PVC-1/16HS,"1/16 BEND, STREET (H x S)","2""",PVC,pc,300,100,3,0.2328,22.0,16.5,13.0,22.0x16.5x13.0,20.5,34.1,,,0.2509,3mo sales
D059,PVC-1/16HS,"1/16 BEND, STREET (H x S)","3""",PVC,pc,150,25,6,0.2245,15.9,11.0,13.0,15.9x11.0x13.0,15.2,16.4,,,0.7538,3mo sales
D035,PVC-1/4HH,1/4 BEND (H x H),"1-1/2""",PVC,pc,2900,100,29,1.6147,16.1,11.0,19.1,16.1x11.0x19.1,24.0,24.4,0.2307,0.3748,0.2655,3mo sales
D035,PVC-1/4HH,1/4 BEND (H x H),"2""",PVC,pc,1600,50,32,1.7817,16.1,11.0,19.1,16.1x11.0x19.1,17.4,24.4,0.3734,0.6239,0.4298,3mo sales
D035,PVC-1/4HH,1/4 BEND (H x H),"3""",PVC,pc,1300,25,52,4.036,22.0,16.5,13.0,22.0x16.5x13.0,24.6,34.1,1.1046,1.8301,1.2712,3mo sales
D035,PVC-1/4HH,1/4 BEND (H x H),"4""",PVC,pc,140,10,14,0.7795,16.1,11.0,19.1,16.1x11.0x19.1,18.2,24.4,2.1055,3.4598,2.2163,3mo sales
D035,PVC-1/4HH,1/4 BEND (H x H),"6""",PVC,pc,40,4,10,0.7762,22.0,16.5,13.0,22.0x16.5x13.0,17.7,34.1,5.7095,9.7326,6.0100,expand product line
D050,PVC-1/4LOWHEEL,1/4 BEND W/ LOW HEEL INLET (H x H x H),"3x3x2""",PVC,pc,190,10,19,0.711,15.9,11.0,13.0,15.9x11.0x13.0,12.7,16.4,,,1.3163,3mo sales
