Factory_Item_No,Factory_Name,Factory_Size,Catalog_Page,Match,APBS_Code,APBS_Description,APBS_Size,Type_K_or_L,Qty,Unit_Price_FOB_USD,Notes
L-101,90° Elbow / 90°弯头,φ28,19,MATCH,COPPER-K-90,ELBOW 90,"1""",Type K,,,
L-101,90° Elbow / 90°弯头,φ15,19,MATCH,COPPER-K-90,ELBOW 90,"1/2""",Type K,,,
L-101,90° Elbow / 90°弯头,φ42,19,MATCH,COPPER-K-90,ELBOW 90,"1-1/2""",Type K,,,
L-101,90° Elbow / 90°弯头,φ35,19,MATCH,COPPER-K-90,ELBOW 90,"1-1/4""",Type K,,,
L-101,90° Elbow / 90°弯头,φ54,19,MATCH,COPPER-K-90,ELBOW 90,"2""",Type K,,,
L-101,90° Elbow / 90°弯头,φ76,19,MATCH — confirm ASTM vs metric OD,COPPER-K-90,ELBOW 90,"3""",Type K,,,"3"" CTS OD is 79.375 mm (ASTM B88); catalog lists φ76 (EN 1057). Confirm they make US tube size."
L-101,90° Elbow / 90°弯头,φ22,19,MATCH,COPPER-K-90,ELBOW 90,"3/4""",Type K,,,
L-101,90° Elbow / 90°弯头,φ108,19,MATCH — confirm ASTM vs metric OD,COPPER-K-90,ELBOW 90,"4""",Type K,,,"4"" CTS OD is 104.775 mm (ASTM B88); catalog lists φ108 (EN 1057). Confirm they make US tube size."
,,,,NOT IN THIS CATALOG,COPPER-K-PIPE,COPPER PIPE K,"1/2""",Type K,,,This PDF is fittings only (catalog pp. 19–25). Hailiang makes copper tube — request ASTM B88 Type L hard 10 ft sticks and Type K (soft coil / hard) separately.
S-102,Reducing Coupling / 异径直接头,φ28×22,19,MATCH,COPPER-K-REDUCER,REDUCER,"1"" x 3/4""",Type K,,,
S-102,Reducing Coupling / 异径直接头,φ42×35,19,MATCH,COPPER-K-REDUCER,REDUCER,"1-1/2"" x 1-1/4""",Type K,,,
S-102,Reducing Coupling / 异径直接头,φ35×22,19,MATCH,COPPER-K-REDUCER,REDUCER,"1-1/4"" x 3/4""",Type K,,,
S-102,Reducing Coupling / 异径直接头,φ54×42,19,MATCH,COPPER-K-REDUCER,REDUCER,"2"" x 1-1/2""",Type K,,,
S-102,Reducing Coupling / 异径直接头,φ67×54,19,MATCH,COPPER-K-REDUCER,REDUCER,"2-1/2"" x 2""",Type K,,,
S-102,Reducing Coupling / 异径直接头,φ76×67,19,MATCH — confirm ASTM vs metric OD,COPPER-K-REDUCER,REDUCER,"3"" x 2-1/2""",Type K,,,"3"" CTS OD is 79.375 mm (ASTM B88); catalog lists φ76 (EN 1057). Confirm they make US tube size."
S-102,Reducing Coupling / 异径直接头,φ22×15,19,MATCH,COPPER-K-REDUCER,REDUCER,"3/4"" x 1/2""",Type K,,,
S-102,Reducing Coupling / 异径直接头,φ108×76,19,MATCH — confirm ASTM vs metric OD,COPPER-K-REDUCER,REDUCER,"4"" x 3""",Type K,,,"4"" CTS OD is 104.775 mm (ASTM B88); catalog lists φ108 (EN 1057). Confirm they make US tube size. 3"" CTS OD is 79.375 mm (ASTM B88); catalog lists φ76 (EN 1057). Confirm they make US tube size."
T-101,Equal Tee / 正三通,φ28×28×28,20,MATCH,COPPER-K-TEE,TEE,"1""",Type K,,,
T-102,Tee — reduced branch / 异径(中小)三通,φ28×22×28,21,MATCH,COPPER-K-TEE,TEE,"1"" x 3/4""",Type K,,,"Interpreted 1"" x 3/4"" as equal-run reducing tee 1"" x 1"" x 3/4"" → factory 1×2×3 = φ28×22×28."
T-101,Equal Tee / 正三通,φ15×15×15,20,MATCH,COPPER-K-TEE,TEE,"1/2""",Type K,,,
