item,size,pal_fob,tom_fob,zhen_fob,pal_landed,tom_landed,zhen_landed,apbs_sell
"PEX-B PIPE — PEX-B potable pipe, 100 ft coil","1""",0.256,0.2941,,0.4606,0.3096,,1.18
"PEX-B PIPE — PEX-B potable pipe, 20 ft stick","1""",0.256,0.2941,,0.3993,0.3096,,1.18
"PEX-B PIPE — PEX-B potable pipe, 100 ft coil","1/2""",0.081,0.0915,,0.1528,0.0963,,0.37
"PEX-B PIPE — PEX-B potable pipe, 20 ft stick","1/2""",0.081,0.0915,,0.1291,0.0963,,0.37
"PEX-B PIPE — PEX-B potable pipe, 100 ft coil","3/4""",0.157,0.1717,,0.288,0.1807,,0.69
"PEX-B PIPE — PEX-B potable pipe, 20 ft stick","3/4""",0.157,0.1717,,0.2511,0.1807,,0.69
PEX-B PIPE — PEX-B PIPE,"1-1/2""",,0.9838,,,1.0356,,3.94
PEX-B PIPE — PEX-B PIPE,"1-1/4""",,0.6179,,,0.6504,,2.47
PEX-B PIPE — PEX-B PIPE,"2""",,1.969,,,2.0726,,7.88
PEX-ELBOW — ELBOW,"1-1/2""",,4.2433,,,4.4667,,16.97
PEX-ELBOW — ELBOW,"1-1/4""",,2.4897,,,2.6207,,9.96
PEX-ELBOW — ELBOW,"2""",,8.5387,,,8.9881,,34.15
PEX-REDUCER — REDUCER,"1-1/2x3/4""",,1.7339,,,1.8252,,6.94
PEX-REDUCER — REDUCER,"2x3/4""",,2.9513,,,3.1067,,11.81
PEX-CPLNG — Coupling F2159 PPSU crimp,"1""",0.36,,0.427,0.5237,,0.6155,
PEX-CPLNG — Coupling F2159 PPSU crimp,"1/2""",0.10235294117647,,0.104,0.1481,,0.1536,
PEX-CPLNG — Coupling F2159 PPSU crimp,"3/4""",0.194117647058823,,0.201,0.2811,,0.2923,
PEX-DE90 — Drop-ear / male elbow PEX x MPT F2159 PPSU,"1/2""",0.36,,,0.5192,,,
PEX-DE90 — Drop-ear / male elbow PEX x MPT F2159 PPSU,"3/4""",0.628571428571429,,,0.9048,,,
PEX-ELBOW — 90 elbow F2159 PPSU crimp,"1""",0.592941176470588,,0.574,0.8597,,0.8257,
PEX-ELBOW — 90 elbow F2159 PPSU crimp,"1/2""",0.148235294117647,0.4659,0.167,0.2149,0.4904,0.2437,1.86
PEX-ELBOW — 90 elbow F2159 PPSU crimp,"3/4""",0.314117647058824,0.7896,0.342,0.4551,0.8311,0.4939,3.16
PEX-FADPTR — Female swivel adapter PEX x FIPT F2159 PPSU,"1/2""",0.314285714285714,,,0.4539,,,
PEX-FADPTR — Female swivel adapter PEX x FIPT F2159 PPSU,"3/4""",0.485714285714286,,,0.7034,,,
PEX-MADPTR — Male adapter PEX x MIPT F2159 PPSU,"1""",0.6,,,0.8757,,,
PEX-MADPTR — Male adapter PEX x MIPT F2159 PPSU,"1/2""",0.194117647058823,,,0.2805,,,
PEX-MADPTR — Male adapter PEX x MIPT F2159 PPSU,"3/4""",0.310588235294118,,,0.45,,,
PEX-PLUG — Plug F2159 PPSU,"1""",0.229411764705882,,,0.331,,,
PEX-PLUG — Plug F2159 PPSU,"1/2""",0.0670588235294117,,,0.0968,,,
PEX-PLUG — Plug F2159 PPSU,"3/4""",0.123529411764706,,,0.1784,,,
PEX-REDTEE — Reducing tee F2159 PPSU,"1"" x 1"" x 1/2""",0.550588235294117,,,0.7992,,,
PEX-REDTEE — Reducing tee F2159 PPSU,"1"" x 1"" x 3/4""",0.635294117647059,,,0.9262,,,
PEX-REDTEE — Reducing tee F2159 PPSU,"1"" x 3/4"" x 1""",0.705882352941177,,,1.0212,,,
PEX-REDTEE — Reducing tee F2159 PPSU,"1"" x 3/4"" x 3/4""",0.564705882352941,,,0.8193,,,
PEX-REDTEE — Reducing tee F2159 PPSU,"1/2"" x 1/2"" x 3/4""",0.275294117647059,,,0.4025,,,
PEX-REDTEE — Reducing tee F2159 PPSU,"3/4"" x 1/2"" x 1/2""",0.3,,,0.4349,,,
PEX-REDTEE — Reducing tee F2159 PPSU,"3/4"" x 1/2"" x 3/4""",0.370588235294118,,,0.537,,,
PEX-REDTEE — Reducing tee F2159 PPSU,"3/4"" x 3/4"" x 1""",0.547058823529412,,,0.8,,,
PEX-REDTEE — Reducing tee F2159 PPSU,"3/4"" x 3/4"" x 1/2""",0.352941176470588,,0.441,0.5118,,0.6355,
PEX-REDUCER — Reducing coupling F2159 PPSU,"1"" x 1/2""",0.257647058823529,0.7825,,0.3743,0.8237,,3.13
PEX-REDUCER — Reducing coupling F2159 PPSU,"1"" x 3/4""",0.289411764705882,,,0.4227,,,
PEX-REDUCER — Reducing coupling F2159 PPSU,"3/4"" x 1/2""",0.158823529411765,0.501,,0.2307,0.5274,,2.0
PEX-TEE — Tee F2159 PPSU crimp,"1""",0.882352941176471,,0.91,1.2795,,1.3062,
PEX-TEE — Tee F2159 PPSU crimp,"1/2""",0.211764705882353,,0.23,0.3073,,0.3338,
PEX-TEE — Tee F2159 PPSU crimp,"3/4""",0.423529411764706,,0.474,0.6145,,0.6827,
PEX-F1807-CLAMP — Stainless steel pinch clamp,"1""",0.132684652808492,,,0.1933,,,
PEX-F1807-CLAMP — Stainless steel pinch clamp,"1/2""",0.0654577620521893,,,0.0945,,,
PEX-F1807-CLAMP — Stainless steel pinch clamp,"3/4""",0.0937638213180009,,,0.1359,,,
PEX-F1807-CPLNG — Coupling F1807 brass crimp,"1""",0.965177133655394,,,1.3876,,,
