Action,Match,Tommur_Code,APBS_Code,Gator_Code,NJPD_Desc,Description,Size,Material,Color,Unit,Order_Qty,CBM,FOB_USD,Duty_per_unit,Freight_dray_per_unit,Landed_APBS_USD,Landed_FOB_plus_freight_only,DDP_USD,CURRENT_DDP_USD,Tommur_cost_used,Better_buy,Landed_vs_DDP_USD,Sell_USD,Sell_Source,NJPD_Stick_USD,Margin_on_DDP_pct,Margin_on_Landed_pct,Line_cost_DDP,Line_cost_Landed,Line_revenue,Line_profit_DDP,Line_profit_Landed,Notes
KEEP — match NJPD 20ft red/blue sticks (order in feet),MATCH pipe size — ASK factory for 20ft STRAIGHT red + blue (not coil/natural),4B200B (1),PEX-B PIPE,"PFW-B120, PFW-R120","1"" BLUE PEX TUBING (20 FT STRAIGHT)",PEX-B PIPE,"1""",PEX,Blue 150 sticks + Red 100 sticks,ft,5000,6.25,0.2941,0.1259,0.0609,0.4809,0.355,0.31,0.47,0.31,DDP cheaper,0.1709,0.5813,NJPD/Gator (per ft = 20ft stick ÷ 20),11.625,46.7,17.3,1550.0,2404.5,2906.5,1356.5,502.0,
KEEP — match NJPD 20ft red/blue sticks (order in feet),MATCH pipe size — ASK factory for 20ft STRAIGHT red + blue (not coil/natural),4B200B (1),PEX-B PIPE,"PFW-B1220, PFW-R1220","1/2"" BLUE PEX TUBING (20 FT STRAIGHT)",PEX-B PIPE,"1/2""",PEX,Blue 300 sticks + Red 200 sticks,ft,10000,6.0,0.0915,0.0392,0.0292,0.1599,0.1207,0.1,0.15,0.1,DDP cheaper,0.0599,0.1775,NJPD/Gator (per ft = 20ft stick ÷ 20),3.55,43.7,9.9,1000.0,1599.0,1775.0,775.0,176.0,
KEEP — match NJPD 20ft red/blue sticks (order in feet),MATCH pipe size — ASK factory for 20ft STRAIGHT red + blue (not coil/natural),4B200B (1),PEX-B PIPE,"PFW-B3420, PFW-R3420","3/4"" BLUE PEX TUBING (20 FT STRAIGHT)",PEX-B PIPE,"3/4""",PEX,Blue 250 sticks + Red 250 sticks,ft,10000,6.5,0.1717,0.0735,0.0317,0.2769,0.2034,0.18,0.27,0.18,DDP cheaper,0.0969,0.335,NJPD/Gator (per ft = 20ft stick ÷ 20),6.7,46.3,17.3,1800.0,2769.0,3350.0,1550.0,581.0,
KEEP — exact NJPD fitting,MATCH poly-alloy crimp fitting (must be ASTM F2159),PEXB,PEX-CPLNG,PPCP0100,"1"" POLY-ALLOY PEX COUPLING",PEX COUPLING,"1""",PEX,,pc,400,0.2,0.509,0.2179,0.0244,0.7513,0.5334,,0.81,0.81,FOB+landed cheaper,-0.0587,0.7695,NJPD/Gator quote 11237145,,-5.3,2.4,324.0,300.52,307.8,-16.2,7.28,
KEEP — exact NJPD fitting,MATCH poly-alloy crimp fitting (must be ASTM F2159),PEXB,PEX-CPLNG,PPCP0012,"1/2"" POLY-ALLOY PEX COUPLING",PEX COUPLING,"1/2""",PEX,,pc,1000,0.2,0.1576,0.0675,0.0097,0.2348,0.1673,,0.25,0.25,FOB+landed cheaper,-0.0152,0.2304,NJPD/Gator quote 11237145,,-8.5,-1.9,250.0,234.8,230.4,-19.6,-4.4,
KEEP — exact NJPD fitting,MATCH poly-alloy crimp fitting (must be ASTM F2159),PEXB,PEX-CPLNG,PPCP0034,"3/4"" POLY-ALLOY PEX COUPLING",PEX COUPLING,"3/4""",PEX,,pc,1500,0.4875,0.2406,0.103,0.0158,0.3594,0.2564,,0.4,0.4,FOB+landed cheaper,-0.0406,0.3795,NJPD/Gator quote 11237145,,-5.4,5.3,600.0,539.1,569.25,-30.75,30.15,
KEEP — exact NJPD fitting,MATCH poly-alloy crimp fitting (must be ASTM F2159),PEXB,PEX-ELBOW,PPLN0012,"1/2"" POLY-ALLOY PEX ELBOW",ELBOW,"1/2""",PEX,,pc,3000,1.8,0.2933,0.1255,0.0292,0.448,0.3225,0.49,0.51,0.49,FOB+landed cheaper,-0.042,0.3313,NJPD/Gator quote 11237145,,-47.9,-35.2,1470.0,1344.0,993.9,-476.1,-350.1,
KEEP — exact NJPD fitting,MATCH poly-alloy crimp fitting (must be ASTM F2159),PEXB,PEX-ELBOW,PPLN0034,"3/4"" POLY-ALLOY PEX ELBOW",ELBOW,"3/4""",PEX,,pc,1500,0.975,0.4,0.1712,0.0317,0.6029,0.4317,0.83,0.74,0.83,FOB+landed cheaper,-0.2271,0.6581,NJPD/Gator quote 11237145,,-26.1,8.4,1245.0,904.35,987.15,-257.85,82.8,
KEEP — exact NJPD fitting,MATCH poly-alloy crimp fitting (must be ASTM F2159),PEXB,PEX-REDTEE,PPRT1134,"1""x1""x3/4"" POLY-ALLOY PEX REDUCING TEE",PEX REDUCING TEE,"1x1x3/4""",PEX,,pc,200,0.2167,0.8821,0.3775,0.0528,1.3124,0.9349,,1.41,1.41,FOB+landed cheaper,-0.0976,1.5782,NJPD/Gator quote 11237145,,10.7,16.8,282.0,262.48,315.64,33.64,53.16,
KEEP — exact NJPD fitting,MATCH poly-alloy crimp fitting (must be ASTM F2159),PEXB,PEX-REDTEE,PPRT3431,"3/4""x3/4""x1/2"" POLY-ALLOY PEX REDUCING TEE",PEX REDUCING TEE,"3/4x3/4x1/2""",PEX,,pc,1000,0.8125,0.49,0.2097,0.0396,0.7393,0.5296,,0.78,0.78,FOB+landed cheaper,-0.0407,0.7439,NJPD/Gator quote 11237145,,-4.9,0.6,780.0,739.3,743.9,-36.1,4.6,
KEEP — exact NJPD fitting,MATCH poly-alloy crimp fitting (must be ASTM F2159),PEXB,PEX-REDUCER,PPRC3412,"3/4""x1/2"" POLY-ALLOY PEX REDUCING COUPLING",REDUCER,"3/4x1/2""",PEX,,pc,600,0.27,0.2101,0.0899,0.0219,0.3219,0.232,,0.34,0.34,FOB+landed cheaper,-0.0181,0.3313,NJPD/Gator quote 11237145,,-2.6,2.8,204.0,193.14,198.78,-5.22,5.64,
KEEP — exact NJPD fitting,MATCH poly-alloy crimp fitting (must be ASTM F2159),PEXB,PEX-TEE,PPTE0100,"1"" POLY-ALLOY PEX TEE",PEX TEE,"1""",PEX,,pc,200,0.15,0.906,0.3878,0.0366,1.3304,0.9426,,1.45,1.45,FOB+landed cheaper,-0.1196,2.0344,NJPD/Gator quote 11237145,,28.7,34.6,290.0,266.08,406.88,116.88,140.8,
KEEP — exact NJPD fitting,MATCH poly-alloy crimp fitting (must be ASTM F2159),PEXB,PEX-TEE,PPTE0012,"1/2"" POLY-ALLOY PEX TEE",PEX TEE,"1/2""",PEX,,pc,400,0.12,0.2955,0.1265,0.0146,0.4366,0.3101,,0.47,0.47,FOB+landed cheaper,-0.0334,0.4488,NJPD/Gator quote 11237145,,-4.7,2.7,188.0,174.64,179.52,-8.48,4.88,
KEEP — exact NJPD fitting,MATCH poly-alloy crimp fitting (must be ASTM F2159),PEXB,PEX-TEE,PPTE0034,"3/4"" POLY-ALLOY PEX TEE",PEX TEE,"3/4""",PEX,,pc,600,0.26,0.5254,0.2249,0.0211,0.7714,0.5465,,0.84,0.84,FOB+landed cheaper,-0.0686,0.9231,NJPD/Gator quote 11237145,,9.0,16.4,504.0,462.84,553.86,49.86,91.02,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D057,PVC-1/16HH,,,1/16 BEND (H x H),"1-1/2""",PVC,,pc,400,0.1552,0.1508,0.0645,0.0189,0.2342,0.1697,0.16,0.25,0.16,DDP cheaper,0.0742,1.36,All Pro website,,88.2,82.8,64.0,93.68,544.0,480.0,450.32,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D057,PVC-1/16HH,,,1/16 BEND (H x H),"2""",PVC,,pc,300,0.2328,0.231,0.0989,0.0378,0.3677,0.2688,0.24,0.37,0.24,DDP cheaper,0.1277,0.91,All Pro website,,73.6,59.6,72.0,110.31,273.0,201.0,162.69,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D057,PVC-1/16HH,,,1/16 BEND (H x H),"3""",PVC,,pc,150,0.2245,0.7666,0.3281,0.073,1.1677,0.8396,0.81,1.25,0.81,DDP cheaper,0.3577,2.65,All Pro website,,69.4,55.9,121.5,175.16,397.5,276.0,222.34,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D059,PVC-1/16HS,,,"1/16 BEND, STREET (H x S)","1-1/2""",PVC,,pc,400,0.1552,0.1637,0.0701,0.0189,0.2527,0.1826,0.15,0.23,0.15,DDP cheaper,0.1027,2.05,All Pro website,,92.7,87.7,60.0,101.08,820.0,760.0,718.92,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D059,PVC-1/16HS,,,"1/16 BEND, STREET (H x S)","2""",PVC,,pc,300,0.2328,0.2374,0.1016,0.0378,0.3768,0.2752,0.25,0.38,0.25,DDP cheaper,0.1268,2.26,All Pro website,,88.9,83.3,75.0,113.04,678.0,603.0,564.96,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D059,PVC-1/16HS,,,"1/16 BEND, STREET (H x S)","3""",PVC,,pc,150,0.2245,0.7133,0.3053,0.073,1.0916,0.7863,0.75,1.14,0.75,DDP cheaper,0.3416,7.46,All Pro website,,89.9,85.4,112.5,163.74,1119.0,1006.5,955.26,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D035,PVC-1/4HH,,,1/4 BEND (H x H),"1-1/2""",PVC,,pc,2900,1.6147,0.2307,0.0987,0.0271,0.3565,0.2578,0.27,0.37,0.27,DDP cheaper,0.0865,0.53,All Pro website,,49.1,32.7,783.0,1033.85,1537.0,754.0,503.15,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D035,PVC-1/4HH,,,1/4 BEND (H x H),"2""",PVC,,pc,1600,1.7817,0.3734,0.1598,0.0543,0.5875,0.4277,0.43,0.6,0.43,DDP cheaper,0.1575,0.86,All Pro website,,50.0,31.7,688.0,940.0,1376.0,688.0,436.0,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D035,PVC-1/4HH,,,1/4 BEND (H x H),"3""",PVC,,pc,1300,4.036,1.1046,0.4728,0.1513,1.7287,1.2559,1.27,1.77,1.27,DDP cheaper,0.4587,2.65,All Pro website,,52.1,34.8,1651.0,2247.31,3445.0,1794.0,1197.69,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D035,PVC-1/4HH,,,1/4 BEND (H x H),"4""",PVC,,pc,140,0.7795,2.1055,0.9012,0.2714,3.2781,2.3769,2.22,3.37,2.22,DDP cheaper,1.0581,4.99,All Pro website,,55.5,34.3,310.8,458.93,698.6,387.8,239.67,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D035,PVC-1/4HH,,,1/4 BEND (H x H),"6""",PVC,,pc,40,0.7762,5.7095,2.4437,0.9459,9.0991,6.6554,6.01,9.14,6.01,DDP cheaper,3.0891,22.84,All Pro website,,73.7,60.2,240.4,363.96,913.6,673.2,549.64,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D043,PVC-1/4HHLNG,,,LONG SWEEP 1/4 BEND (H x H),"2""",PVC,,pc,840,1.0866,0.4876,0.2087,0.0631,0.7594,0.5507,0.52,0.78,0.52,DDP cheaper,0.2394,1.34,All Pro website,,61.2,43.3,436.8,637.9,1125.6,688.8,487.7,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D043,PVC-1/4HHLNG,,,LONG SWEEP 1/4 BEND (H x H),"3""",PVC,,pc,840,3.1434,1.4054,0.6015,0.1824,2.1893,1.5878,1.49,2.24,1.49,DDP cheaper,0.6993,3.17,All Pro website,,53.0,30.9,1251.6,1839.01,2662.8,1411.2,823.79,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D043,PVC-1/4HHLNG,,,LONG SWEEP 1/4 BEND (H x H),"4""",PVC,,pc,30,0.2245,2.4488,1.0481,0.3648,3.8617,2.8136,2.59,3.92,2.59,DDP cheaper,1.2717,6.47,All Pro website,,60.0,40.3,77.7,115.85,194.1,116.4,78.25,
