Tommur_Code,APBS_Code,Description,Size,Material,Unit,Order_Pcs,FOB_USD,DDP_USD,CURRENT_DDP_USD,Cost_Basis_USD,Cost_Source,Prev_quote_DDP,AllPro_Sell,Margin_pct,Markup_pct,Profit_per_unit,Line_cost,Line_revenue,Line_profit,DDP_vs_prev_pct,CURRENT_vs_DDP_pct,On_Website,uncertain
PEXB,PEX-ELBOW,ELBOW,"1-1/4""",PEX,pc,200,1.95,,2.82,2.82,CURRENT_DDP (DDP blank on sheet),2.62,9.96,71.7,253.2,7.14,564.0,1992.0,1428.0,,,YES,True
482008 (1),PEX-B PIPE,PEX-B PIPE,"1/2""",PEX,ft,6000,0.0915,0.1,0.15,0.1,Tommur_DDP_USD,0.1,0.37,73.0,270.0,0.27,600.0,2220.0,1620.0,0.0,50.0,YES,False
482008 (1),PEX-B PIPE,PEX-B PIPE,"1-1/2""",PEX,ft,600,0.9838,1.04,1.58,1.04,Tommur_DDP_USD,1.04,3.94,73.6,278.8,2.9,624.0,2364.0,1740.0,0.0,51.9,YES,False
PEXB,PEX-ELBOW,ELBOW,"1-1/2""",PEX,pc,100,0.88,,4.47,4.47,CURRENT_DDP (DDP blank on sheet),4.47,16.97,73.7,279.6,12.5,447.0,1697.0,1250.0,,,YES,True
PEXB,PEX-ELBOW,ELBOW,"1/2""",PEX,pc,1200,0.2933,0.49,0.51,0.49,Tommur_DDP_USD,0.49,1.86,73.7,279.6,1.37,588.0,2232.0,1644.0,0.0,4.1,YES,False
PEXB,PEX-ELBOW,ELBOW,"3/4""",PEX,pc,900,0.4,0.83,0.74,0.83,Tommur_DDP_USD,0.83,3.16,73.7,280.7,2.33,747.0,2844.0,2097.0,0.0,-10.8,YES,False
482008 (1),PEX-B PIPE,PEX-B PIPE,"1""",PEX,ft,2400,0.2941,0.31,0.47,0.31,Tommur_DDP_USD,0.31,1.18,73.7,280.6,0.87,744.0,2832.0,2088.0,0.0,51.6,YES,False
482008 (1),PEX-B PIPE,PEX-B PIPE,"1-1/4""",PEX,ft,900,0.6179,0.65,0.99,0.65,Tommur_DDP_USD,0.65,2.47,73.7,280.0,1.82,585.0,2223.0,1638.0,0.0,52.3,YES,False
482008 (1),PEX-B PIPE,PEX-B PIPE,"2""",PEX,ft,300,1.969,2.07,3.15,2.07,Tommur_DDP_USD,2.07,7.88,73.7,280.7,5.81,621.0,2364.0,1743.0,0.0,52.2,YES,False
PEXB,PEX-REDUCER,REDUCER,"2x3/4""",PEX,pc,100,1.9442,,3.11,3.11,CURRENT_DDP (DDP blank on sheet),3.11,11.81,73.7,279.7,8.7,311.0,1181.0,870.0,,,YES,False
482008 (1),PEX-B PIPE,PEX-B PIPE,"3/4""",PEX,ft,4500,0.1717,0.18,0.27,0.18,Tommur_DDP_USD,0.18,0.69,73.9,283.3,0.51,810.0,3105.0,2295.0,0.0,50.0,YES,False
PEXB,PEX-ELBOW,ELBOW,"2""",PEX,pc,100,0.8,,8.3,8.3,CURRENT_DDP (DDP blank on sheet),8.99,34.15,75.7,311.4,25.85,830.0,3415.0,2585.0,,,YES,True
PEXB,PEX-REDUCER,REDUCER,"1x1/2""",PEX,pc,200,0.4124,,0.66,0.66,CURRENT_DDP (DDP blank on sheet),0.82,3.13,78.9,374.2,2.47,132.0,626.0,494.0,,,YES,False
PEXB,PEX-REDUCER,REDUCER,"3/4x1/2""",PEX,pc,300,0.2101,,0.34,0.34,CURRENT_DDP (DDP blank on sheet),0.53,2,83.0,488.2,1.66,102.0,600,498.0,,,YES,False
PEXB,PEX-REDUCER,REDUCER,"1-1/2x3/4""",PEX,pc,100,0.68,,1.09,1.09,CURRENT_DDP (DDP blank on sheet),1.83,6.94,84.3,536.7,5.85,109.0,694.0,585.0,,,YES,False
PEXB,PEX-CPLNG,PEX COUPLING,"1""",PEX,pc,240,0.509,,0.81,0.81,CURRENT_DDP (DDP blank on sheet),,,,,,194.4,,,,,NO,False
PEXB,PEX-CPLNG,PEX COUPLING,"1/2""",PEX,pc,900,0.1576,,0.25,0.25,CURRENT_DDP (DDP blank on sheet),,,,,,225.0,,,,,NO,False
PEXB,PEX-CPLNG,PEX COUPLING,"3/4""",PEX,pc,600,0.2406,,0.4,0.4,CURRENT_DDP (DDP blank on sheet),,,,,,240.0,,,,,NO,False
PEXB,PEX-FADPTR,PEX FEMALE ADAPTER (PEX x FIPT),"1/2""",PEX,pc,300,0.54,,0.86,0.86,CURRENT_DDP (DDP blank on sheet),,,,,,258.0,,,,,NO,False
