Gator,Zhenpeng_PN,Item,Size,Quote_qty,Zhenpeng_FOB_USD,Zhenpeng_landed_USD,NJPD_sell_USD,Cost_for_50pct,Cost_for_75pct,Margin_on_Zhenpeng_landed_pct,Band,Tommur_FOB_USD,Tommur_DDP_USD,ZP_FOB_vs_Tommur_FOB_pct,ZP_landed_vs_Tommur_DDP_pct,Better_buy,Margin_on_Tommur_DDP_pct,KingSmart_FOB_low_USD,KingSmart_USA_USD,Line_FOB_USD,Line_landed_USD,Line_NJPD_sell_USD,Line_profit_vs_NJPD_USD
PPCP0012,B1212CP,"1/2"" PEX coupling","1/2""",3000,0.107,0.1628,0.2304,0.1152,0.0576,29.3,"OK vs NJPD, below 50% target",0.1576,0.25,-32.1,-34.9,Zhenpeng landed cheaper,-8.5,,,321.0,488.4,691.2,202.8
PPCP0034,B3434CP,"3/4"" PEX coupling","3/4""",4500,0.207,0.3056,0.3795,0.1898,0.0949,19.5,thin (<20%),0.2406,0.4,-14.0,-23.6,Zhenpeng landed cheaper,-5.4,,,931.5,1375.2,1707.75,332.55
PPCP0100,B0505CP,"1"" PEX coupling","1""",1200,0.44,0.6383,0.7695,0.3847,0.1924,17.1,thin (<20%),0.509,0.81,-13.6,-21.2,Zhenpeng landed cheaper,-5.3,,,528.0,765.96,923.4,157.44
PPRC3412,B3412CP,"3/4""x1/2"" PEX coupling","3/4x1/2""",2000,0.18,0.267,0.3313,0.1656,0.0828,19.4,thin (<20%),0.2101,0.34,-14.3,-21.5,Zhenpeng landed cheaper,-2.6,,,360.0,534.0,662.6,128.6
PPRC1034,B0534CP,"1""x3/4"" PEX coupling","1x3/4""",1800,0.33,0.4812,0.7138,0.3569,0.1784,32.6,"OK vs NJPD, below 50% target",,,,,no Tommur DDP — Zhenpeng covers a hole,,,,594.0,866.16,1284.84,418.68
PPLN0012,B121290,"1/2"" PEX elbow","1/2""",9000,0.172,0.2556,0.3313,0.1656,0.0828,22.8,"OK vs NJPD, below 50% target",0.2933,0.49,-41.4,-47.8,Zhenpeng landed cheaper,-47.9,,,1548.0,2300.4,2981.7,681.3
PPLN0034,B343490,"3/4"" PEX elbow","3/4""",4500,0.353,0.5141,0.6581,0.3291,0.1645,21.9,"OK vs NJPD, below 50% target",0.4,0.83,-11.8,-38.1,Zhenpeng landed cheaper,-26.1,0.51,0.83,1588.5,2313.45,2961.45,648.0
PPLN0100,B050590,"1"" PEX elbow","1""",2700,0.592,0.8554,1.4607,0.7304,0.3652,41.4,"OK vs NJPD, below 50% target",,,,,no Tommur DDP — Zhenpeng covers a hole,,,,1598.4,2309.58,3943.89,1634.31
PPPL0012,B12PLG,"1/2"" PEX plug","1/2""",6000,0.094,0.1442,0.2078,0.1039,0.052,30.6,"OK vs NJPD, below 50% target",,,,,no Tommur DDP — Zhenpeng covers a hole,,,,564.0,865.2,1246.8,381.6
PPPL0034,B34PLG,"3/4"" PEX plug","3/4""",3000,0.156,0.2328,0.3629,0.1815,0.0907,35.9,"OK vs NJPD, below 50% target",,,,,no Tommur DDP — Zhenpeng covers a hole,,,,468.0,698.4,1088.7,390.3
PPPL0100,B05PLG,"1"" PEX plug","1""",1500,0.268,0.3927,0.5903,0.2952,0.1476,33.5,"OK vs NJPD, below 50% target",,,,,no Tommur DDP — Zhenpeng covers a hole,,0.47,0.68,402.0,589.05,885.45,296.4
PPTE0012,B12T,"1/2"" PEX tee","1/2""",1200,0.237,0.3484,0.4488,0.2244,0.1122,22.4,"OK vs NJPD, below 50% target",0.2955,0.47,-19.8,-25.9,Zhenpeng landed cheaper,-4.7,0.38,0.49,284.4,418.08,538.56,120.48
PPTE0034,B34T,"3/4"" PEX tee","3/4""",1800,0.489,0.7083,0.9231,0.4616,0.2308,23.3,"OK vs NJPD, below 50% target",0.5254,0.84,-6.9,-15.7,Zhenpeng landed cheaper,9.0,,,880.2,1274.94,1661.58,386.64
PPTE0100,B05T,"1"" PEX tee","1""",600,0.938,1.3495,2.0344,1.0172,0.5086,33.7,"OK vs NJPD, below 50% target",0.906,1.45,3.5,-6.9,Zhenpeng landed cheaper,28.7,,,562.8,809.7,1220.64,410.94
PPRT1213,B121234T,"1/2""x1/2""x3/4"" PEX tee","1/2x1/2x3/4""",900,0.346,0.5041,0.6445,0.3222,0.1611,21.8,"OK vs NJPD, below 50% target",,,,,no Tommur DDP — Zhenpeng covers a hole,,,,311.4,453.69,580.05,126.36
PPRT3411,B341212T,"3/4""x1/2""x1/2"" PEX tee","3/4x1/2x1/2""",2700,0.383,0.5569,0.5963,0.2982,0.1491,6.6,thin (<20%),,,,,no Tommur DDP — Zhenpeng covers a hole,,,,1034.1,1503.63,1610.01,106.38
PPRT3413,B341234T,"3/4""x1/2""x3/4"" PEX tee","3/4x1/2x3/4""",2250,0.439,0.6369,0.7891,0.3946,0.1973,19.3,thin (<20%),,,,,no Tommur DDP — Zhenpeng covers a hole,,0.65,1.04,987.75,1433.03,1775.48,342.45
PPRT3431,B343412T,"3/4""x3/4""x1/2"" PEX tee","3/4x3/4x1/2""",3000,0.455,0.6597,0.7439,0.372,0.186,11.3,thin (<20%),0.49,0.78,-7.1,-15.4,Zhenpeng landed cheaper,-4.9,,,1365.0,1979.1,2231.7,252.6
PPRT3410,B343405T,"3/4""x3/4""x1"" PEX tee","3/4x3/4x1""",450,0.59,0.8525,1.4366,0.7183,0.3592,40.7,"OK vs NJPD, below 50% target",,,,,no Tommur DDP — Zhenpeng covers a hole,,,,265.5,383.62,646.47,262.85
PPRT1033,B053434T,"1""x3/4""x3/4"" PEX tee","1x3/4x3/4""",900,0.662,0.9553,1.6745,0.8373,0.4186,43.0,"OK vs NJPD, below 50% target",,,,,no Tommur DDP — Zhenpeng covers a hole,,,,595.8,859.77,1507.05,647.28
PPRT1341,B053405T,"1""x3/4""x1"" PEX tee","1x3/4x1""",600,0.737,1.0624,2.0525,1.0263,0.5131,48.2,"OK vs NJPD, below 50% target",,,,,no Tommur DDP — Zhenpeng covers a hole,,,,442.2,637.44,1231.5,594.06
PPRT1112,B050512T,"1""x1""x1/2"" PEX tee","1x1x1/2""",900,0.682,0.9839,1.3929,0.6965,0.3482,29.4,"OK vs NJPD, below 50% target",,,,,no Tommur DDP — Zhenpeng covers a hole,,,,613.8,885.51,1253.61,368.1
PPRT1134,B050534T,"1""x1""x3/4"" PEX tee","1x1x3/4""",600,0.733,1.0567,1.5782,0.7891,0.3946,33.0,"OK vs NJPD, below 50% target",0.8821,1.41,-16.9,-25.1,Zhenpeng landed cheaper,10.7,,,439.8,634.02,946.92,312.9
