quote,KLJC260922
date,2026-09-22
mill,Jiangsu Kaili Carpet Co., Ltd.
contact,Jessica Chan
email,jessicachan10@foxmail.com
phone,+86 15088252687
to,Baruch Grossman
incoterms,FOB Shanghai
hs_cn,5703290000
fiber,100% polyester
dye,solution dye
construction,tufted cut pile
backing,action back
pile_height_mm,8
face_g_m2,1200
face_oz,35
width_m,3.66
roll_length_m,25
m2_per_roll,91.5
rolls_in_40HQ,60
qty_m2,5490
unit_usd_m2,7.23
amount_usd,39692.70
container,40HQ
lead_days,25
payment,30% TT in advance; 70% against B/L copy
color,same as picture (beige cut pile)
SY_per_m2,1.196
China_duty_stack,1.43
Ocean_USD_per_40HQ,10000
FOB_USD_SY,6.05
FOB_x1.43_USD_SY,8.64
SY_in_40HQ,6566
ocean_per_SY_at_10k,1.52
landed_plus_10k_ocean_USD_SY,10.17
Artisent_USD_SY,5.92
Dongsheng_1200g_FOB_m2,6.77
Dongsheng_1200g_landed_SY,9.44
FOB_m2_to_match_5.92_at_10k_ocean,3.82
source_image,kaili/Kaili_KLJC260922_FOB_Shanghai.jpg
note,5490 x 7.23 = 39692.70. 60 rolls x 3.66 m x 25 m = 5490 m2. Duty-only already over Artisent. No PO.
