family,code,desc,size,color,unit,qty,fob_unit,ddp_unit,our_landed_unit,ocean_unit,ddp_over_fob,ddp_vs_our_pct,fob_amt,ddp_amt,our_landed_amt,cbm,site_sell_unit,site_sell,ddp_in_sell_unit,our_in_sell_unit,gm_on_ddp_pct,gm_on_our_pct,target_sell_50gm_ddp,band_ddp
PPSU,PEX-CPLNG,Coupling F2159 PPSU crimp,1/2,,pc,3000,0.1023,0.1597,0.1481,0.0018,1.56,7.8,307,479,444.33,0.036,pc,0.25,0.1597,0.1481,36.1,40.8,0.32,thin — below 50% range
PPSU,PEX-CPLNG,Coupling F2159 PPSU crimp,1,,pc,3000,0.36,0.5617,0.5237,0.0089,1.56,7.3,1080,1685,1570.99,0.18,pc,0.85,0.5617,0.5237,33.9,38.4,1.12,thin — below 50% range
PPSU,PEX-CPLNG,Coupling F2159 PPSU crimp,3/4,,pc,3000,0.194,0.3027,0.281,0.0035,1.56,7.7,582,908,842.9,0.072,pc,0.42,0.3027,0.281,27.9,33.1,0.61,thin — below 50% range
Copper ring,PEX-F1807-RING,Copper crimp ring,1/2,,pc,30000,0.1385,0.2687,0.1989,0.0009,1.94,35.1,4155,8061,5968.24,0.18,pc,0.17,0.2687,0.1989,-58.1,-17.0,0.54,UNDERWATER — raise sell or skip
Copper ring,PEX-F1807-RING,Copper crimp ring,1,,pc,10000,0.2447,0.4747,0.3535,0.0035,1.94,34.3,2447,4747,3534.66,0.24,pc,0.41,0.4747,0.3535,-15.8,13.8,0.95,UNDERWATER — raise sell or skip
Copper ring,PEX-F1807-RING,Copper crimp ring,3/4,,pc,20000,0.1985,0.3851,0.2856,0.0018,1.94,34.8,3970,7703,5712.55,0.24,pc,0.23,0.3851,0.2856,-67.5,-24.2,0.77,UNDERWATER — raise sell or skip
PPSU,PEX-ELBOW,90 elbow F2159 PPSU crimp,1/2,,pc,9000,0.1482,0.2312,0.2149,0.003,1.56,7.6,1334,2081,1934.21,0.18,pc,0.36,0.2312,0.2149,35.8,40.3,0.46,thin — below 50% range
PPSU,PEX-ELBOW,90 elbow F2159 PPSU crimp,1,,pc,3000,0.593,0.925,0.8598,0.0118,1.56,7.6,1779,2775,2579.42,0.24,pc,1.61,0.925,0.8598,42.5,46.6,1.85,shy of 50% range
PPSU,PEX-ELBOW,90 elbow F2159 PPSU crimp,3/4,,pc,4500,0.3142,0.49,0.4552,0.0059,1.559,7.6,1414,2205,2048.61,0.18,pc,0.72,0.49,0.4552,31.9,36.8,0.98,thin — below 50% range
PPSU,PEX-PLUG,Plug F2159 PPSU,1/2,,pc,6000,0.067,0.1047,0.0967,0.0009,1.562,8.2,402,628,580.18,0.036,pc,0.23,0.1047,0.0967,54.5,58.0,0.21,in 50% range
PPSU,PEX-PLUG,Plug F2159 PPSU,1,,pc,3000,0.2293,0.358,0.3309,0.003,1.561,8.2,688,1074,992.7,0.06,pc,0.65,0.358,0.3309,44.9,49.1,0.72,shy of 50% range
PPSU,PEX-PLUG,Plug F2159 PPSU,3/4,,pc,3000,0.1237,0.1927,0.1786,0.0018,1.558,7.9,371,578,535.85,0.036,pc,0.4,0.1927,0.1786,51.8,55.3,0.39,in 50% range
PPSU,PEX-REDUCER,Reducing coupling F2159 PPSU,1 x 3/4,,pc,3000,0.2893,0.4513,0.4226,0.0089,1.56,6.8,868,1354,1267.83,0.18,pc,0.79,0.4513,0.4226,42.9,46.5,0.9,shy of 50% range
PPSU,PEX-REDUCER,Reducing coupling F2159 PPSU,3/4 x 1/2,,pc,3000,0.1587,0.2477,0.2304,0.0035,1.561,7.5,476,743,691.32,0.072,pc,0.36,0.2477,0.2304,31.2,36.0,0.5,thin — below 50% range
