line,family,code,desc,size,spec,unit,status,catalog,mill_note
1,PEX-B pipe,PEX-B PIPE,"PEX-B potable pipe, 10 ft stick","1/2""","ASTM F876/F877 PEX-B CTS, NSF-pw / cUPC",ft,New pack — we want to stock,p.4,"Quote white, red, and blue separately (FOB each color). CTS, not metric OD."
2,PEX-B pipe,PEX-B PIPE,"PEX-B potable pipe, 20 ft stick","1/2""","ASTM F876/F877 PEX-B CTS, NSF-pw / cUPC",ft,New pack — we want to stock,p.4,"Quote white, red, and blue separately (FOB each color). CTS, not metric OD."
3,PEX-B pipe,PEX-B PIPE,"PEX-B potable pipe, 100 ft coil","1/2""","ASTM F876/F877 PEX-B CTS, NSF-pw / cUPC",ft,On site — listed per ft,p.4,"Quote white, red, and blue separately (FOB each color). CTS, not metric OD."
4,PEX-B pipe,PEX-B PIPE,"PEX-B potable pipe, 300 ft coil","1/2""","ASTM F876/F877 PEX-B CTS, NSF-pw / cUPC",ft,New pack — we want to stock,p.4,"Quote white, red, and blue separately (FOB each color). CTS, not metric OD."
5,PEX-B pipe,PEX-B PIPE,"PEX-B potable pipe, 500 ft coil","1/2""","ASTM F876/F877 PEX-B CTS, NSF-pw / cUPC",ft,New pack — we want to stock,p.4,"Quote white, red, and blue separately (FOB each color). CTS, not metric OD."
6,PEX-B pipe,PEX-B PIPE,"PEX-B potable pipe, 10 ft stick","3/4""","ASTM F876/F877 PEX-B CTS, NSF-pw / cUPC",ft,New pack — we want to stock,p.4,"Quote white, red, and blue separately (FOB each color). CTS, not metric OD."
7,PEX-B pipe,PEX-B PIPE,"PEX-B potable pipe, 20 ft stick","3/4""","ASTM F876/F877 PEX-B CTS, NSF-pw / cUPC",ft,New pack — we want to stock,p.4,"Quote white, red, and blue separately (FOB each color). CTS, not metric OD."
8,PEX-B pipe,PEX-B PIPE,"PEX-B potable pipe, 100 ft coil","3/4""","ASTM F876/F877 PEX-B CTS, NSF-pw / cUPC",ft,On site — listed per ft,p.4,"Quote white, red, and blue separately (FOB each color). CTS, not metric OD."
9,PEX-B pipe,PEX-B PIPE,"PEX-B potable pipe, 300 ft coil","3/4""","ASTM F876/F877 PEX-B CTS, NSF-pw / cUPC",ft,New pack — we want to stock,p.4,"Quote white, red, and blue separately (FOB each color). CTS, not metric OD."
10,PEX-B pipe,PEX-B PIPE,"PEX-B potable pipe, 500 ft coil","3/4""","ASTM F876/F877 PEX-B CTS, NSF-pw / cUPC",ft,New pack — we want to stock,p.4,"Quote white, red, and blue separately (FOB each color). CTS, not metric OD."
