family,code,desc,size,unit,fob8,fob10,fob_delta_pct,moq,pack,cbm,gw,lead,nsf,units_carton,ocean_unit,landed,our_fob,our_src,tommur_ddp,zhenpeng,site,verdict
PEX-B pipe,PEX-B PIPE,"PEX-B potable pipe, 20 ft stick","1/2""",ft,0.082,0.081,-1.2,30000,20ft/stick 50sticks/bag,0.09,,25,NSF UPC CSA,1000.0,0.0133,0.1291,0.0915,Tommur FOB,0.0963,,0.37,Palconn cheaper FOB than Tommur
PEX-B pipe,PEX-B PIPE,"PEX-B potable pipe, 100 ft coil","1/2""",ft,0.082,0.081,-1.2,30000,100,0.025,,25,NSF UPC CSA,100.0,0.0369,0.1527,0.0915,Tommur FOB,0.0963,,0.37,Palconn cheaper FOB than Tommur
PEX-B pipe,PEX-B PIPE,"PEX-B potable pipe, 20 ft stick","3/4""",ft,0.159,0.157,-1.3,30000,20ft/stick 25sticks/bag,0.09,,25,NSF UPC CSA,500.0,0.0266,0.2511,0.1717,Tommur FOB,0.1807,,0.69,Palconn cheaper FOB than Tommur
PEX-B pipe,PEX-B PIPE,"PEX-B potable pipe, 100 ft coil","3/4""",ft,0.159,0.157,-1.3,30000,100,0.043,,25,NSF UPC CSA,100.0,0.0635,0.288,0.1717,Tommur FOB,0.1807,,0.69,Palconn cheaper FOB than Tommur
PEX-B pipe,PEX-B PIPE,"PEX-B potable pipe, 20 ft stick","1""",ft,0.259,0.256,-1.2,20000,20ft/stick 20sticks/bag,0.09,,25,NSF UPC CSA,400.0,0.0332,0.3993,0.2941,Tommur FOB,0.3096,,1.18,Palconn cheaper FOB than Tommur
PEX-B pipe,PEX-B PIPE,"PEX-B potable pipe, 100 ft coil","1""",ft,0.259,0.256,-1.2,20000,100,0.064,,25,NSF UPC CSA,100.0,0.0945,0.4606,0.2941,Tommur FOB,0.3096,,1.18,Palconn cheaper FOB than Tommur
PEX F2159 PPSU,PEX-ELBOW,90 elbow F2159 PPSU crimp,"1/2""",pc,0.156037151702786,0.148235294117647,-5.0,3000,600,0.012,,25,NSF UPC CSA,600.0,0.003,0.215,0.4659,Zhenpeng REV FOB,0.4904,0.167,1.86,Palconn cheaper FOB than Zhenpeng
PEX F2159 PPSU,PEX-ELBOW,90 elbow F2159 PPSU crimp,"3/4""",pc,0.330650154798762,0.314117647058824,-5.0,3000,300,0.012,,25,NSF UPC CSA,300.0,0.0059,0.4551,0.7896,Zhenpeng REV FOB,0.8311,0.342,3.16,Palconn cheaper FOB than Zhenpeng
PEX F2159 PPSU,PEX-ELBOW,90 elbow F2159 PPSU crimp,"1""",pc,0.624148606811145,0.592941176470588,-5.0,3000,150,0.012,,25,NSF UPC CSA,150.0,0.0118,0.8597,0.574,Zhenpeng REV FOB,,0.574,,Zhenpeng cheaper FOB
PEX F2159 PPSU,PEX-CPLNG,Coupling F2159 PPSU crimp,"1/2""",pc,0.107739938080495,0.10235294117647,-5.0,3000,1000,0.012,,25,NSF UPC CSA,1000.0,0.0018,0.1482,0.104,Zhenpeng REV FOB,,0.104,,Palconn cheaper FOB than Zhenpeng
PEX F2159 PPSU,PEX-CPLNG,Coupling F2159 PPSU crimp,"3/4""",pc,0.204334365325077,0.194117647058823,-5.0,3000,500,0.012,,25,NSF UPC CSA,500.0,0.0035,0.2811,0.201,Zhenpeng REV FOB,,0.201,,Palconn cheaper FOB than Zhenpeng
PEX F2159 PPSU,PEX-CPLNG,Coupling F2159 PPSU crimp,"1""",pc,0.378947368421053,0.36,-5.0,3000,200,0.012,,25,NSF UPC CSA,200.0,0.0089,0.5237,0.427,Zhenpeng REV FOB,,0.427,,Palconn cheaper FOB than Zhenpeng
PEX F2159 PPSU,PEX-TEE,Tee F2159 PPSU crimp,"1/2""",pc,0.222910216718266,0.211764705882353,-5.0,3200,400,0.012,,25,NSF UPC CSA,400.0,0.0044,0.3072,0.23,Zhenpeng REV FOB,,0.23,,Palconn cheaper FOB than Zhenpeng
PEX F2159 PPSU,PEX-TEE,Tee F2159 PPSU crimp,"3/4""",pc,0.445820433436533,0.423529411764706,-5.0,3000,200,0.012,,25,NSF UPC CSA,200.0,0.0089,0.6145,0.474,Zhenpeng REV FOB,,0.474,,Palconn cheaper FOB than Zhenpeng
PEX F2159 PPSU,PEX-TEE,Tee F2159 PPSU crimp,"1""",pc,0.928792569659443,0.882352941176471,-5.0,3000,100,0.012,,25,NSF UPC CSA,100.0,0.0177,1.2795,0.91,Zhenpeng REV FOB,,0.91,,Palconn cheaper FOB than Zhenpeng
PEX F2159 PPSU,PEX-REDUCER,Reducing coupling F2159 PPSU,"3/4"" x 1/2""",pc,0.1671826625387,0.158823529411765,-5.0,3000,500,0.012,,25,NSF UPC CSA,500.0,0.0035,0.2306,0.501,Tommur FOB,0.5274,,2.0,Palconn cheaper FOB than Tommur
