product,thickness,fob_usd_m2,m2_per_20dc,notes
Sisecam Clear Float,3 mm,2.55,3022,
Sisecam Clear Float,4 mm,3.25,2250,
Sisecam Clear Float,5 mm,4.10,1694.4,
Sisecam Clear Float,6 mm,4.90,1412,Volume SKU
Sisecam Clear Float,8 mm,6.50,1030,
Sisecam Clear Float,10 mm,8.15,847.2,
Sisecam Clear Float,12 mm,10.75,706,
Sisecam Tinted Float,4 mm,4.55,2250,
Sisecam Tinted Float,5 mm,5.67,1648,
Sisecam Tinted Float,6 mm,6.85,1374,
Sisecam Tinted Float,8 mm,9.10,1030,
Sisecam Tinted Float,10 mm,11.40,847.2,
Sisecam Ultra Clear,4 mm,8.00,2250,Do not buy for stock sheet
Sisecam Ultra Clear,5 mm,10.00,1694.4,
Sisecam Ultra Clear,6 mm,12.00,1413,
Sisecam Ultra Clear,8 mm,16.00,1030,
Sisecam Ultra Clear,10 mm,20.00,847.2,
Sisecam Ultra Clear,12 mm,26.40,706,
FLOTAL-E Silver Mirror,3 mm,9.00,2747,Reference
FLOTAL-E Silver Mirror,4 mm,10.00,2060,
FLOTAL-E Silver Mirror,5 mm,11.00,1579,
FLOTAL-E Silver Mirror,6 mm,12.00,1373,
Sisecam Laminated,3+3.1,11.00,1305,Add PVB/color PVB +3.50 USD
Sisecam Laminated,4+4.1,12.95,961,
Sisecam Laminated,5+5.1,14.90,755,
Sisecam Laminated,6+6.1,16.85,686,
